LV1,SPVolt,Output,Date
0,0,0,16:21:49
100.45,100.00,605,16:21:50
100.91,100.00,605,16:21:51
100.91,100.00,605,16:21:52
101.19,100.00,605,16:21:53
101.19,100.00,608,16:21:54
101.56,100.00,608,16:21:55
101.56,100.00,608,16:21:56
101.69,100.00,608,16:21:57
101.69,100.00,608,16:21:58
101.44,100.00,608,16:21:59
101.44,100.00,608,16:22:00
101.28,100.00,608,16:22:01
101.08,100.00,608,16:22:02
100.68,100.00,608,16:22:03
100.68,100.00,608,16:22:04
100.37,100.00,608,16:22:05
100.37,100.00,608,16:22:06
99.96,100.00,608,16:22:07
99.96,100.00,608,16:22:08
99.52,100.00,608,16:22:09
99.52,100.00,605,16:22:10
98.96,100.00,605,16:22:11
98.96,100.00,605,16:22:12
98.86,100.00,605,16:22:13
98.86,100.00,605,16:22:14
99.00,100.00,605,16:22:15
99.00,100.00,605,16:22:16
99.40,100.00,605,16:22:17
99.40,100.00,605,16:22:18
99.55,100.00,605,16:22:19
99.55,100.00,605,16:22:20
99.61,100.00,605,16:22:21
99.59,100.00,605,16:22:22
99.59,100.00,605,16:22:23
99.50,100.00,605,16:22:24
99.45,100.00,605,16:22:25
99.45,100.00,605,16:22:26
99.30,100.00,605,16:22:27
99.30,100.00,605,16:22:28
99.23,100.00,605,16:22:29
99.23,100.00,605,16:22:30
99.13,100.00,605,16:22:31
99.13,100.00,605,16:22:32
99.13,100.00,605,16:22:33
99.13,100.00,605,16:22:34
99.31,100.00,602,16:22:35
99.31,100.00,605,16:22:36
99.26,100.00,605,16:22:37
99.26,100.00,602,16:22:38
99.49,100.00,602,16:22:39
99.49,100.00,605,16:22:40
99.83,100.00,605,16:22:41
99.83,100.00,605,16:22:42
99.85,100.00,605,16:22:43
99.85,100.00,605,16:22:44
99.70,100.00,605,16:22:45
99.70,100.00,605,16:22:46
99.64,100.00,605,16:22:47
99.64,100.00,605,16:22:48
99.56,100.00,605,16:22:49
99.56,100.00,602,16:22:50
99.47,100.00,602,16:22:51
99.37,100.00,602,16:22:52
99.40,100.00,602,16:22:53
99.40,100.00,602,16:22:54
99.40,100.00,602,16:22:55
99.40,100.00,602,16:22:56
99.55,100.00,602,16:22:57
99.55,100.00,602,16:22:58
99.82,100.00,602,16:22:59
99.82,100.00,602,16:23:00
100.05,100.00,602,16:23:01
100.05,100.00,605,16:23:02
100.10,100.00,605,16:23:03
100.10,100.00,605,16:23:04
100.08,100.00,605,16:23:05
100.08,100.00,605,16:23:06
100.18,100.00,605,16:23:07
100.18,100.00,605,16:23:08
100.31,100.00,605,16:23:09
100.31,100.00,605,16:23:10
100.38,100.00,605,16:23:11
100.38,100.00,605,16:23:12
100.39,100.00,605,16:23:13
100.39,100.00,605,16:23:14
100.39,100.00,605,16:23:15
100.06,100.00,605,16:23:16
99.86,100.00,605,16:23:17
99.86,100.00,605,16:23:18
99.73,100.00,605,16:23:19
99.73,100.00,602,16:23:20
99.69,100.00,602,16:23:21
99.69,100.00,602,16:23:22
99.61,100.00,602,16:23:23
99.61,100.00,602,16:23:24
99.83,100.00,602,16:23:25
99.83,100.00,602,16:23:26
100.14,100.00,602,16:23:27
100.14,100.00,605,16:23:28
100.25,100.00,605,16:23:29
100.44,100.00,605,16:23:30
100.44,100.00,605,16:23:31
