LV1,SPVolt,Output,Date,ST_Lv1
0,0,0,2022-11-09 13:51:17,0
100.87,100.00,580,2022-11-09 13:51:18,128
100.70,100.00,580,2022-11-09 13:51:19,128
100.70,100.00,580,2022-11-09 13:51:20,128
100.54,100.00,580,2022-11-09 13:51:21,128
100.42,100.00,580,2022-11-09 13:51:22,128
100.28,100.00,580,2022-11-09 13:51:23,128
100.28,100.00,580,2022-11-09 13:51:24,128
100.16,100.00,580,2022-11-09 13:51:25,128
100.16,100.00,580,2022-11-09 13:51:26,128
100.04,100.00,580,2022-11-09 13:51:27,128
100.04,100.00,580,2022-11-09 13:51:28,128
99.97,100.00,580,2022-11-09 13:51:29,128
99.97,100.00,580,2022-11-09 13:51:30,128
99.95,100.00,580,2022-11-09 13:51:31,128
99.95,100.00,580,2022-11-09 13:51:32,128
100.00,100.00,580,2022-11-09 13:51:33,128
100.00,100.00,580,2022-11-09 13:51:34,128
100.11,100.00,580,2022-11-09 13:51:35,128
100.11,100.00,580,2022-11-09 13:51:36,128
100.15,100.00,580,2022-11-09 13:51:37,128
100.13,100.00,580,2022-11-09 13:51:38,128
100.11,100.00,580,2022-11-09 13:51:39,128
100.11,100.00,580,2022-11-09 13:51:40,128
100.07,100.00,580,2022-11-09 13:51:41,128
100.07,100.00,580,2022-11-09 13:51:42,128
100.00,100.00,580,2022-11-09 13:51:43,128
100.00,100.00,580,2022-11-09 13:51:44,128
99.97,100.00,580,2022-11-09 13:51:45,128
99.97,100.00,580,2022-11-09 13:51:46,128
100.01,100.00,580,2022-11-09 13:51:47,128
99.99,100.00,580,2022-11-09 13:51:48,128
99.74,100.00,580,2022-11-09 13:51:49,128
99.74,100.00,580,2022-11-09 13:51:50,128
99.41,100.00,580,2022-11-09 13:51:51,128
99.41,100.00,576,2022-11-09 13:51:52,128
99.30,100.00,576,2022-11-09 13:51:53,128
99.15,100.00,576,2022-11-09 13:51:54,128
99.08,100.00,576,2022-11-09 13:51:55,128
99.08,100.00,576,2022-11-09 13:51:56,128
99.27,100.00,576,2022-11-09 13:51:57,128
99.27,100.00,576,2022-11-09 13:51:58,128
99.45,100.00,576,2022-11-09 13:51:59,128
99.45,100.00,576,2022-11-09 13:52:00,128
99.50,100.00,576,2022-11-09 13:52:01,128
99.62,100.00,576,2022-11-09 13:52:02,128
99.70,100.00,576,2022-11-09 13:52:03,128
99.81,100.00,576,2022-11-09 13:52:04,128
100.08,100.00,576,2022-11-09 13:52:05,128
100.08,100.00,576,2022-11-09 13:52:06,128
100.54,100.00,576,2022-11-09 13:52:07,128
100.54,100.00,580,2022-11-09 13:52:08,128
100.97,100.00,580,2022-11-09 13:52:09,128
100.97,100.00,580,2022-11-09 13:52:10,128
100.79,100.00,580,2022-11-09 13:52:11,128
100.79,100.00,580,2022-11-09 13:52:12,128
100.53,100.00,580,2022-11-09 13:52:13,128
100.53,100.00,580,2022-11-09 13:52:14,128
100.40,100.00,580,2022-11-09 13:52:15,128
100.25,100.00,580,2022-11-09 13:52:16,128
100.12,100.00,580,2022-11-09 13:52:17,128
100.12,100.00,580,2022-11-09 13:52:18,128
99.78,100.00,580,2022-11-09 13:52:19,128
99.57,100.00,580,2022-11-09 13:52:20,128
99.14,100.00,576,2022-11-09 13:52:21,128
99.14,100.00,576,2022-11-09 13:52:22,128
99.00,100.00,576,2022-11-09 13:52:23,128
98.96,100.00,576,2022-11-09 13:52:24,128
99.04,100.00,576,2022-11-09 13:52:25,128
99.12,100.00,576,2022-11-09 13:52:26,128
99.23,100.00,576,2022-11-09 13:52:27,128
99.40,100.00,576,2022-11-09 13:52:28,128
99.54,100.00,576,2022-11-09 13:52:29,128
99.73,100.00,576,2022-11-09 13:52:30,128
99.95,100.00,576,2022-11-09 13:52:31,128
99.95,100.00,576,2022-11-09 13:52:32,128
100.02,100.00,576,2022-11-09 13:52:33,128
100.02,100.00,576,2022-11-09 13:52:34,128
100.13,100.00,576,2022-11-09 13:52:35,128
100.16,100.00,576,2022-11-09 13:52:36,128
100.16,100.00,576,2022-11-09 13:52:37,128
100.17,100.00,576,2022-11-09 13:52:38,128
100.17,100.00,576,2022-11-09 13:52:39,128
100.30,100.00,576,2022-11-09 13:52:40,128
100.49,100.00,580,2022-11-09 13:52:41,128
100.49,100.00,580,2022-11-09 13:52:42,128
100.65,100.00,580,2022-11-09 13:52:43,128
100.65,100.00,580,2022-11-09 13:52:44,128
100.52,100.00,580,2022-11-09 13:52:45,128
100.33,100.00,580,2022-11-09 13:52:46,128
99.88,100.00,580,2022-11-09 13:52:47,128
99.88,100.00,576,2022-11-09 13:52:48,128
99.70,100.00,576,2022-11-09 13:52:49,128
99.45,100.00,576,2022-11-09 13:52:50,128
99.29,100.00,576,2022-11-09 13:52:51,128
99.20,100.00,576,2022-11-09 13:52:52,128
99.19,100.00,576,2022-11-09 13:52:53,128
99.18,100.00,576,2022-11-09 13:52:54,128
99.14,100.00,576,2022-11-09 13:52:55,128
99.14,100.00,576,2022-11-09 13:52:56,128
99.11,100.00,576,2022-11-09 13:52:57,128
99.11,100.00,576,2022-11-09 13:52:58,128
99.17,100.00,576,2022-11-09 13:52:59,128
99.17,100.00,576,2022-11-09 13:53:00,128
99.33,100.00,576,2022-11-09 13:53:01,128
99.33,100.00,576,2022-11-09 13:53:02,128
99.61,100.00,576,2022-11-09 13:53:03,128
99.61,100.00,576,2022-11-09 13:53:04,128
99.91,100.00,576,2022-11-09 13:53:05,128
99.91,100.00,576,2022-11-09 13:53:06,128
100.19,100.00,576,2022-11-09 13:53:07,128
100.19,100.00,576,2022-11-09 13:53:08,128
100.41,100.00,576,2022-11-09 13:53:09,128
100.41,100.00,576,2022-11-09 13:53:10,128
100.55,100.00,576,2022-11-09 13:53:11,128
100.55,100.00,576,2022-11-09 13:53:12,128
100.82,100.00,576,2022-11-09 13:53:13,128
100.82,100.00,580,2022-11-09 13:53:14,128
101.07,100.00,580,2022-11-09 13:53:15,128
101.07,100.00,580,2022-11-09 13:53:16,128
101.08,100.00,580,2022-11-09 13:53:17,128
101.08,100.00,580,2022-11-09 13:53:18,128
100.83,100.00,580,2022-11-09 13:53:19,128
100.83,100.00,580,2022-11-09 13:53:20,128
100.61,100.00,580,2022-11-09 13:53:21,128
100.42,100.00,580,2022-11-09 13:53:22,128
100.04,100.00,580,2022-11-09 13:53:23,128
100.04,100.00,580,2022-11-09 13:53:24,128
99.73,100.00,580,2022-11-09 13:53:25,128
99.73,100.00,576,2022-11-09 13:53:26,128
99.40,100.00,576,2022-11-09 13:53:27,128
99.40,100.00,576,2022-11-09 13:53:28,128
99.38,100.00,576,2022-11-09 13:53:29,128
99.55,100.00,576,2022-11-09 13:53:30,128
100.06,100.00,576,2022-11-09 13:53:31,128
100.06,100.00,576,2022-11-09 13:53:32,128
100.56,100.00,576,2022-11-09 13:53:33,128
100.56,100.00,580,2022-11-09 13:53:34,128
101.06,100.00,580,2022-11-09 13:53:35,128
101.06,100.00,580,2022-11-09 13:53:36,128
101.20,100.00,580,2022-11-09 13:53:37,128
101.20,100.00,580,2022-11-09 13:53:38,128
101.17,100.00,580,2022-11-09 13:53:39,128
101.13,100.00,580,2022-11-09 13:53:40,128
100.98,100.00,580,2022-11-09 13:53:41,128
100.98,100.00,580,2022-11-09 13:53:42,128
100.90,100.00,580,2022-11-09 13:53:43,128
100.79,100.00,580,2022-11-09 13:53:44,128
100.60,100.00,580,2022-11-09 13:53:45,128
100.37,100.00,580,2022-11-09 13:53:46,128
99.99,100.00,580,2022-11-09 13:53:47,128
99.99,100.00,580,2022-11-09 13:53:48,128
99.57,100.00,580,2022-11-09 13:53:49,128
99.57,100.00,580,2022-11-09 13:53:50,128
99.21,100.00,580,2022-11-09 13:53:51,128
99.21,100.00,576,2022-11-09 13:53:52,128
99.05,100.00,576,2022-11-09 13:53:53,128
98.93,100.00,576,2022-11-09 13:53:54,128
99.01,100.00,576,2022-11-09 13:53:55,128
99.01,100.00,576,2022-11-09 13:53:56,128
99.34,100.00,576,2022-11-09 13:53:57,128
99.34,100.00,576,2022-11-09 13:53:58,128
99.62,100.00,576,2022-11-09 13:53:59,128
99.62,100.00,576,2022-11-09 13:54:00,128
99.81,100.00,576,2022-11-09 13:54:01,128
99.97,100.00,576,2022-11-09 13:54:02,128
100.46,100.00,580,2022-11-09 13:54:03,128
100.46,100.00,580,2022-11-09 13:54:04,128
100.80,100.00,580,2022-11-09 13:54:05,128
100.80,100.00,580,2022-11-09 13:54:06,128
100.90,100.00,580,2022-11-09 13:54:07,128
100.90,100.00,580,2022-11-09 13:54:08,128
100.86,100.00,580,2022-11-09 13:54:09,128
100.86,100.00,580,2022-11-09 13:54:10,128
100.69,100.00,580,2022-11-09 13:54:11,128
100.69,100.00,580,2022-11-09 13:54:12,128
100.60,100.00,580,2022-11-09 13:54:13,128
100.60,100.00,580,2022-11-09 13:54:14,128
100.45,100.00,580,2022-11-09 13:54:15,128
100.45,100.00,580,2022-11-09 13:54:16,128
100.26,100.00,580,2022-11-09 13:54:17,128
100.26,100.00,580,2022-11-09 13:54:18,128
100.15,100.00,580,2022-11-09 13:54:19,128
100.15,100.00,580,2022-11-09 13:54:20,128
100.15,100.00,580,2022-11-09 13:54:21,128
100.15,100.00,580,2022-11-09 13:54:22,128
100.15,100.00,580,2022-11-09 13:54:23,128
100.15,100.00,580,2022-11-09 13:54:24,128
100.15,100.00,580,2022-11-09 13:54:25,128
100.15,100.00,580,2022-11-09 13:54:26,128
100.15,100.00,580,2022-11-09 13:54:27,128
100.15,100.00,580,2022-11-09 13:54:28,20
100.15,100.00,580,2022-11-09 13:54:29,20
100.15,100.00,580,2022-11-09 13:54:30,20
100.15,100.00,580,2022-11-09 13:54:31,20
100.15,100.00,580,2022-11-09 13:54:32,20
100.15,100.00,580,2022-11-09 13:54:33,20
