Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/10/27 15:18:59,LD-IS-01,TT-IS-05,Primary Clock Source,available,90,229,33,0,-91,Poor Signal(10)
2022/10/27 15:18:59,TT-IS-05,BB-IS-01,Primary Clock Source,available,856,15,124,0,-61,Good Signal(159)
2022/10/27 15:19:07,LD-IS-01,TT-IS-05,Primary Clock Source,available,90,229,33,0,-91,Poor Signal(10)
2022/10/27 15:19:07,TT-IS-05,BB-IS-01,Primary Clock Source,available,856,15,124,0,-61,Good Signal(159)
2022/10/27 15:19:23,LD-IS-01,TT-IS-05,Primary Clock Source,available,119,290,33,0,-91,Poor Signal(11)
2022/10/27 15:19:23,TT-IS-05,BB-IS-01,Primary Clock Source,available,948,18,154,0,-60,Good Signal(164)
2022/10/27 15:19:37,LD-IS-01,TT-IS-05,Primary Clock Source,available,119,290,33,0,-91,Poor Signal(11)
2022/10/27 15:19:37,TT-IS-05,BB-IS-01,Primary Clock Source,available,948,18,154,0,-60,Good Signal(164)
2022/10/27 15:19:57,LD-IS-01,TT-IS-05,Primary Clock Source,available,119,290,33,0,-91,Poor Signal(11)
2022/10/27 15:19:57,TT-IS-05,BB-IS-01,Primary Clock Source,available,948,18,154,0,-60,Good Signal(164)
2022/10/27 15:20:09,LD-IS-01,TT-IS-05,Primary Clock Source,available,119,290,33,0,-91,Poor Signal(11)
2022/10/27 15:20:09,TT-IS-05,BB-IS-01,Primary Clock Source,available,948,18,154,0,-60,Good Signal(164)
2022/10/27 15:20:17,LD-IS-01,TT-IS-05,Primary Clock Source,available,147,351,38,0,-91,Poor Signal(9)
2022/10/27 15:20:17,TT-IS-05,BB-IS-01,Primary Clock Source,available,1043,19,188,0,-61,Good Signal(160)
2022/10/27 15:20:25,LD-IS-01,TT-IS-05,Primary Clock Source,available,147,351,38,0,-91,Poor Signal(9)
2022/10/27 15:20:25,TT-IS-05,BB-IS-01,Primary Clock Source,available,1043,19,188,0,-61,Good Signal(160)
2022/10/27 15:20:32,LD-IS-01,TT-IS-05,Primary Clock Source,available,147,351,38,0,-91,Poor Signal(9)
2022/10/27 15:20:32,TT-IS-05,BB-IS-01,Primary Clock Source,available,1043,19,188,0,-61,Good Signal(160)
2022/10/27 15:20:41,LD-IS-01,TT-IS-05,Primary Clock Source,available,147,351,38,0,-91,Poor Signal(9)
2022/10/27 15:20:41,TT-IS-05,BB-IS-01,Primary Clock Source,available,1043,19,188,0,-61,Good Signal(160)
2022/10/27 15:20:51,LD-IS-01,TT-IS-05,Primary Clock Source,available,147,351,38,0,-91,Poor Signal(9)
2022/10/27 15:20:51,TT-IS-05,BB-IS-01,Primary Clock Source,available,1043,19,188,0,-61,Good Signal(160)
2022/10/27 15:21:01,LD-IS-01,TT-IS-05,Primary Clock Source,available,147,351,38,0,-91,Poor Signal(9)
2022/10/27 15:21:01,TT-IS-05,BB-IS-01,Primary Clock Source,available,1043,19,188,0,-61,Good Signal(160)
2022/10/27 15:21:11,LD-IS-01,TT-IS-05,Primary Clock Source,available,147,351,38,0,-91,Poor Signal(9)
2022/10/27 15:21:11,TT-IS-05,BB-IS-01,Primary Clock Source,available,1043,19,188,0,-61,Good Signal(160)
2022/10/27 15:21:25,LD-IS-01,TT-IS-05,Primary Clock Source,available,168,420,47,0,-91,Poor Signal(8)
2022/10/27 15:21:25,TT-IS-05,BB-IS-01,Primary Clock Source,available,1129,21,213,0,-60,Good Signal(163)
2022/10/27 15:21:35,LD-IS-01,TT-IS-05,Primary Clock Source,available,168,420,47,0,-91,Poor Signal(8)
2022/10/27 15:21:35,TT-IS-05,BB-IS-01,Primary Clock Source,available,1129,21,213,0,-60,Good Signal(163)
2022/10/27 15:21:47,LD-IS-01,TT-IS-05,Primary Clock Source,available,168,420,47,0,-91,Poor Signal(8)
2022/10/27 15:21:47,TT-IS-05,BB-IS-01,Primary Clock Source,available,1129,21,213,0,-60,Good Signal(163)
2022/10/27 15:22:02,LD-IS-01,TT-IS-05,Primary Clock Source,available,168,420,47,0,-91,Poor Signal(8)
2022/10/27 15:22:02,TT-IS-05,BB-IS-01,Primary Clock Source,available,1129,21,213,0,-60,Good Signal(163)
2022/10/27 15:22:11,LD-IS-01,TT-IS-05,Primary Clock Source,available,168,420,47,0,-91,Poor Signal(8)
2022/10/27 15:22:11,TT-IS-05,BB-IS-01,Primary Clock Source,available,1129,21,213,0,-60,Good Signal(163)
2022/10/27 15:22:31,LD-IS-01,TT-IS-05,Primary Clock Source,available,198,480,55,0,-91,Poor Signal(7)
2022/10/27 15:22:31,TT-IS-05,BB-IS-01,Primary Clock Source,available,1227,22,251,0,-61,Good Signal(153)
2022/10/27 15:22:49,LD-IS-01,TT-IS-05,Primary Clock Source,available,198,480,55,0,-91,Poor Signal(7)
2022/10/27 15:22:49,TT-IS-05,BB-IS-01,Primary Clock Source,available,1227,22,251,0,-61,Good Signal(153)
2022/10/27 15:22:59,LD-IS-01,TT-IS-05,Primary Clock Source,available,198,480,55,0,-91,Poor Signal(7)
2022/10/27 15:22:59,TT-IS-05,BB-IS-01,Primary Clock Source,available,1227,22,251,0,-61,Good Signal(153)
2022/10/27 15:23:10,LD-IS-01,TT-IS-05,Primary Clock Source,available,198,480,55,0,-91,Poor Signal(7)
2022/10/27 15:23:10,TT-IS-05,BB-IS-01,Primary Clock Source,available,1227,22,251,0,-61,Good Signal(153)
2022/10/27 15:23:29,LD-IS-01,TT-IS-05,Primary Clock Source,available,226,542,62,0,-91,Poor Signal(6)
2022/10/27 15:23:29,TT-IS-05,BB-IS-01,Primary Clock Source,available,1322,26,285,0,-62,Good Signal(147)
2022/10/27 15:23:43,LD-IS-01,TT-IS-05,Primary Clock Source,available,226,542,62,0,-91,Poor Signal(6)
2022/10/27 15:23:43,TT-IS-05,BB-IS-01,Primary Clock Source,available,1322,26,285,0,-62,Good Signal(147)
2022/10/27 15:23:59,LD-IS-01,TT-IS-05,Primary Clock Source,available,226,542,62,0,-91,Poor Signal(6)
2022/10/27 15:23:59,TT-IS-05,BB-IS-01,Primary Clock Source,available,1322,26,285,0,-62,Good Signal(147)
2022/10/27 15:24:27,LD-IS-01,TT-IS-05,Primary Clock Source,available,226,542,62,0,-91,Poor Signal(6)
2022/10/27 15:24:27,TT-IS-05,BB-IS-01,Primary Clock Source,available,1322,26,285,0,-62,Good Signal(147)
2022/10/27 15:24:43,LD-IS-01,TT-IS-05,Primary Clock Source,available,256,602,71,0,-91,Poor Signal(7)
2022/10/27 15:24:43,TT-IS-05,BB-IS-01,Primary Clock Source,available,1419,28,320,0,-63,Good Signal(143)
2022/10/27 15:24:59,LD-IS-01,TT-IS-05,Primary Clock Source,available,256,602,71,0,-91,Poor Signal(7)
2022/10/27 15:24:59,TT-IS-05,BB-IS-01,Primary Clock Source,available,1419,28,320,0,-63,Good Signal(143)
2022/10/27 15:25:15,LD-IS-01,TT-IS-05,Primary Clock Source,available,256,602,71,0,-91,Poor Signal(7)
2022/10/27 15:25:15,TT-IS-05,BB-IS-01,Primary Clock Source,available,1419,28,320,0,-63,Good Signal(143)
2022/10/27 15:25:49,LD-IS-01,TT-IS-05,Primary Clock Source,available,277,670,78,0,-91,Poor Signal(9)
2022/10/27 15:25:49,TT-IS-05,BB-IS-01,Primary Clock Source,available,1504,30,344,0,-62,Good Signal(154)
2022/10/27 15:26:03,LD-IS-01,TT-IS-05,Primary Clock Source,available,277,670,78,0,-91,Poor Signal(9)
2022/10/27 15:26:03,TT-IS-05,BB-IS-01,Primary Clock Source,available,1504,30,344,0,-62,Good Signal(154)
2022/10/27 15:26:19,LD-IS-01,TT-IS-05,Primary Clock Source,available,300,737,87,0,-91,Poor Signal(9)
2022/10/27 15:26:19,TT-IS-05,BB-IS-01,Primary Clock Source,available,1594,32,374,0,-60,Good Signal(162)
2022/10/27 15:26:43,LD-IS-01,TT-IS-05,Primary Clock Source,available,300,737,87,0,-91,Poor Signal(9)
2022/10/27 15:26:43,TT-IS-05,BB-IS-01,Primary Clock Source,available,1594,32,374,0,-60,Good Signal(162)
2022/10/27 15:26:56,LD-IS-01,TT-IS-05,Primary Clock Source,available,300,737,87,0,-91,Poor Signal(9)
2022/10/27 15:26:56,TT-IS-05,BB-IS-01,Primary Clock Source,available,1594,32,374,0,-60,Good Signal(162)
2022/10/27 15:27:05,LD-IS-01,TT-IS-05,Primary Clock Source,available,300,737,87,0,-91,Poor Signal(9)
2022/10/27 15:27:05,TT-IS-05,BB-IS-01,Primary Clock Source,available,1594,32,374,0,-60,Good Signal(162)
2022/10/27 15:27:23,LD-IS-01,TT-IS-05,Primary Clock Source,available,324,802,94,0,-91,Poor Signal(9)
2022/10/27 15:27:23,TT-IS-05,BB-IS-01,Primary Clock Source,available,1682,32,401,0,-60,Good Signal(164)
2022/10/27 15:27:39,LD-IS-01,TT-IS-05,Primary Clock Source,available,324,802,94,0,-91,Poor Signal(9)
2022/10/27 15:27:39,TT-IS-05,BB-IS-01,Primary Clock Source,available,1682,32,401,0,-60,Good Signal(164)
2022/10/27 15:27:55,LD-IS-01,TT-IS-05,Primary Clock Source,available,324,802,94,0,-91,Poor Signal(9)
2022/10/27 15:27:55,TT-IS-05,BB-IS-01,Primary Clock Source,available,1682,32,401,0,-60,Good Signal(164)
2022/10/27 15:28:13,LD-IS-01,TT-IS-05,Primary Clock Source,available,324,802,94,0,-91,Poor Signal(9)
2022/10/27 15:28:13,TT-IS-05,BB-IS-01,Primary Clock Source,available,1682,32,401,0,-60,Good Signal(164)
2022/10/27 15:28:23,LD-IS-01,TT-IS-05,Primary Clock Source,available,345,871,103,0,-91,Poor Signal(9)
2022/10/27 15:28:23,TT-IS-05,BB-IS-01,Primary Clock Source,available,1770,32,428,0,-61,Good Signal(161)
2022/10/27 15:28:41,LD-IS-01,TT-IS-05,Primary Clock Source,available,345,871,103,0,-91,Poor Signal(9)
2022/10/27 15:28:41,TT-IS-05,BB-IS-01,Primary Clock Source,available,1770,32,428,0,-61,Good Signal(161)
2022/10/27 15:28:57,LD-IS-01,TT-IS-05,Primary Clock Source,available,345,871,103,0,-91,Poor Signal(9)
2022/10/27 15:28:57,TT-IS-05,BB-IS-01,Primary Clock Source,available,1770,32,428,0,-61,Good Signal(161)
2022/10/27 15:29:13,LD-IS-01,TT-IS-05,Primary Clock Source,available,345,871,103,0,-91,Poor Signal(9)
2022/10/27 15:29:13,TT-IS-05,BB-IS-01,Primary Clock Source,available,1770,32,428,0,-61,Good Signal(161)
2022/10/27 15:29:22,LD-IS-01,TT-IS-05,Primary Clock Source,available,365,941,111,0,-91,Poor Signal(11)
2022/10/27 15:29:22,TT-IS-05,BB-IS-01,Primary Clock Source,available,1855,33,452,0,-61,Good Signal(161)
2022/10/27 15:29:41,LD-IS-01,TT-IS-05,Primary Clock Source,available,365,941,111,0,-91,Poor Signal(11)
2022/10/27 15:29:41,TT-IS-05,BB-IS-01,Primary Clock Source,available,1855,33,452,0,-61,Good Signal(161)
2022/10/27 15:29:53,LD-IS-01,TT-IS-05,Primary Clock Source,available,365,941,111,0,-91,Poor Signal(11)
2022/10/27 15:29:53,TT-IS-05,BB-IS-01,Primary Clock Source,available,1855,33,452,0,-61,Good Signal(161)
2022/10/27 15:30:03,LD-IS-01,TT-IS-05,Primary Clock Source,available,365,941,111,0,-91,Poor Signal(11)
2022/10/27 15:30:03,TT-IS-05,BB-IS-01,Primary Clock Source,available,1855,33,452,0,-61,Good Signal(161)
2022/10/27 15:33:05,LD-IS-01,TT-IS-05,Primary Clock Source,available,392,1004,118,0,-91,Poor Signal(13)
