LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
0.02,0.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:07.009976
0.01,0.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:08.010033
0.01,0.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:08.819080
0.02,0.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:10.010148
0.01,0.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:11.010205
0.01,0.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:11.810251
0.01,0.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:12.811308
0.02,100.00,1,0.005000,0.000400,0.000500,1024,2022-05-18 10:43:13.814365
0.01,100.00,1,0.005000,0.000400,0.000500,852,2022-05-18 10:43:14.809422
0.01,100.00,1,0.005000,0.000400,0.000500,839,2022-05-18 10:43:16.008491
0.03,100.00,1,0.005000,0.000400,0.000500,826,2022-05-18 10:43:17.009548
0.02,100.00,1,0.005000,0.000400,0.000500,813,2022-05-18 10:43:17.810594
0.02,100.00,1,0.005000,0.000400,0.000500,800,2022-05-18 10:43:19.009663
0.01,100.00,1,0.005000,0.000400,0.000500,788,2022-05-18 10:43:20.010720
0.02,100.00,1,0.005000,0.000400,0.000500,775,2022-05-18 10:43:21.009777
0.01,100.00,1,0.005000,0.000400,0.000500,762,2022-05-18 10:43:22.008834
0.01,100.00,1,0.005000,0.000400,0.000500,749,2022-05-18 10:43:23.009891
0.01,100.00,1,0.005000,0.000400,0.000500,736,2022-05-18 10:43:23.808937
0.01,100.00,1,0.005000,0.000400,0.000500,724,2022-05-18 10:43:25.009006
0.01,100.00,1,0.005000,0.000400,0.000500,711,2022-05-18 10:43:25.813052
0.01,100.00,1,0.005000,0.000400,0.000500,698,2022-05-18 10:43:26.809109
0.01,100.00,1,0.005000,0.000400,0.000500,685,2022-05-18 10:43:28.010177
-0.01,100.00,1,0.005000,0.000400,0.000500,672,2022-05-18 10:43:29.016235
-0.51,100.00,1,0.005000,0.000400,0.000500,660,2022-05-18 10:43:30.013292
-0.26,100.00,1,0.005000,0.000400,0.000500,647,2022-05-18 10:43:30.813338
1.62,100.00,1,0.005000,0.000400,0.000500,634,2022-05-18 10:43:31.810395
3.17,100.00,1,0.005000,0.000400,0.000500,624,2022-05-18 10:43:33.011463
4.65,100.00,1,0.005000,0.000400,0.000500,615,2022-05-18 10:43:34.010521
6.65,100.00,1,0.005000,0.000400,0.000500,605,2022-05-18 10:43:35.010578
9.15,100.00,1,0.005000,0.000400,0.000500,596,2022-05-18 10:43:36.016635
12.14,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:43:36.810681
15.40,100.00,1,0.005000,0.000400,0.000500,583,2022-05-18 10:43:38.010749
19.33,100.00,1,0.005000,0.000400,0.000500,576,2022-05-18 10:43:39.008806
23.70,100.00,1,0.005000,0.000400,0.000500,573,2022-05-18 10:43:39.877856
28.34,100.00,1,0.005000,0.000400,0.000500,570,2022-05-18 10:43:40.812910
33.15,100.00,1,0.005000,0.000400,0.000500,567,2022-05-18 10:43:41.837968
38.06,100.00,1,0.005000,0.000400,0.000500,567,2022-05-18 10:43:42.889028
43.05,100.00,1,0.005000,0.000400,0.000500,567,2022-05-18 10:43:43.825082
47.98,100.00,1,0.005000,0.000400,0.000500,567,2022-05-18 10:43:44.850141
52.67,100.00,1,0.005000,0.000400,0.000500,570,2022-05-18 10:43:45.872199
57.09,100.00,1,0.005000,0.000400,0.000500,570,2022-05-18 10:43:46.810253
61.23,100.00,1,0.005000,0.000400,0.000500,573,2022-05-18 10:43:47.852312
65.02,100.00,1,0.005000,0.000400,0.000500,573,2022-05-18 10:43:48.828368
68.46,100.00,1,0.005000,0.000400,0.000500,576,2022-05-18 10:43:49.817425
71.55,100.00,1,0.005000,0.000400,0.000500,576,2022-05-18 10:43:50.839483
74.36,100.00,1,0.005000,0.000400,0.000500,576,2022-05-18 10:43:51.823539
76.92,100.00,1,0.005000,0.000400,0.000500,580,2022-05-18 10:43:53.008607
79.15,100.00,1,0.005000,0.000400,0.000500,580,2022-05-18 10:43:54.013665
81.28,100.00,1,0.005000,0.000400,0.000500,580,2022-05-18 10:43:55.009722
83.07,100.00,1,0.005000,0.000400,0.000500,583,2022-05-18 10:43:56.009779
84.67,100.00,1,0.005000,0.000400,0.000500,583,2022-05-18 10:43:57.009836
86.09,100.00,1,0.005000,0.000400,0.000500,583,2022-05-18 10:43:58.008893
87.34,100.00,1,0.005000,0.000400,0.000500,583,2022-05-18 10:43:59.008950
88.51,100.00,1,0.005000,0.000400,0.000500,583,2022-05-18 10:44:00.013008
89.50,100.00,1,0.005000,0.000400,0.000500,583,2022-05-18 10:44:00.817054
90.41,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:02.009122
91.26,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:03.009179
92.02,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:04.009236
92.70,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:04.809282
93.25,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:06.008351
93.78,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:07.009408
94.27,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:07.811454
94.63,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:09.008522
94.96,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:10.018580
95.31,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:11.018637
95.65,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:12.017694
95.97,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:13.007751
96.27,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:14.009808
96.55,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:15.009866
96.81,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:16.008923
97.03,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:17.012980
97.27,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:17.812026
97.44,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:19.008094
97.44,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:20.009152
97.81,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:21.008209
97.98,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:22.011266
98.19,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:22.808312
98.39,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:24.009380
98.60,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:25.018438
98.85,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:26.009495
99.04,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:27.018552
99.23,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:28.017610
99.44,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:29.008666
99.54,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:29.815712
99.74,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:31.008781
99.92,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:32.018838
100.02,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:32.818884
100.15,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:34.016953
100.25,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:35.015010
100.23,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:36.010067
100.22,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:37.019124
100.19,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:38.008181
100.08,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:39.010238
100.04,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:40.009295
99.89,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:41.008353
99.73,100.00,1,0.005000,0.000400,0.000500,589,2022-05-18 10:44:42.008410
99.59,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:43.018468
99.46,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:44.008524
99.35,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:45.018582
99.35,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:46.018639
99.38,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:47.018696
99.48,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:48.009753
99.48,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:49.017811
99.53,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:50.018868
99.61,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:51.010925
99.60,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:51.810970
99.59,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:53.007039
99.57,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:54.008096
99.59,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:54.828143
99.60,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:56.018211
99.62,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:57.008268
99.62,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:58.009325
99.60,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:44:58.807371
99.60,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:45:00.007439
99.61,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:45:01.007496
99.61,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:45:02.011554
99.56,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:45:03.008611
99.50,100.00,1,0.005000,0.000400,0.000500,586,2022-05-18 10:45:04.013668
