LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
-0.11,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:25.753155
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:26.754212
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:27.754269
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:28.753327
-0.09,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:29.558373
-0.09,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:30.753441
-0.11,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:31.752498
-0.11,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:32.754555
-0.06,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:33.756613
-0.11,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:34.753670
-0.09,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:35.752727
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:36.753784
-0.09,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:37.752841
-0.09,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:38.751898
-0.09,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:39.752956
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:40.753013
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:41.754070
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:42.553116
-0.07,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:43.753184
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:44.754242
-0.10,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:45.752299
-0.11,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:46.562345
-0.11,100.00,1,0.005000,0.000400,0.000500,1008,2022-05-23 15:41:47.752413
-0.12,100.00,1,0.005000,0.000400,0.000500,836,2022-05-23 15:41:48.753470
-0.09,100.00,1,0.005000,0.000400,0.000500,823,2022-05-23 15:41:49.753528
-0.10,100.00,1,0.005000,0.000400,0.000500,810,2022-05-23 15:41:50.756585
-0.10,100.00,1,0.005000,0.000400,0.000500,810,2022-05-23 15:41:51.753642
-0.11,100.00,1,0.005000,0.000400,0.000500,797,2022-05-23 15:41:52.753699
-0.10,100.00,1,0.005000,0.000400,0.000500,784,2022-05-23 15:41:53.557745
-0.11,100.00,1,0.005000,0.000400,0.000500,772,2022-05-23 15:41:54.600805
-0.11,100.00,1,0.005000,0.000400,0.000500,759,2022-05-23 15:41:56.033887
-0.08,100.00,1,0.005000,0.000400,0.000500,746,2022-05-23 15:41:56.987941
-0.11,100.00,1,0.005000,0.000400,0.000500,733,2022-05-23 15:41:57.751985
-0.11,100.00,1,0.005000,0.000400,0.000500,720,2022-05-23 15:41:58.753042
-0.10,100.00,1,0.005000,0.000400,0.000500,708,2022-05-23 15:41:59.753100
-0.09,100.00,1,0.005000,0.000400,0.000500,695,2022-05-23 15:42:00.838162
-0.09,100.00,1,0.005000,0.000400,0.000500,682,2022-05-23 15:42:01.752214
-0.09,100.00,1,0.005000,0.000400,0.000500,669,2022-05-23 15:42:02.599262
-0.05,100.00,1,0.005000,0.000400,0.000500,656,2022-05-23 15:42:03.756329
0.85,100.00,1,0.005000,0.000400,0.000500,644,2022-05-23 15:42:05.043402
2.49,100.00,1,0.005000,0.000400,0.000500,631,2022-05-23 15:42:05.558432
3.82,100.00,1,0.005000,0.000400,0.000500,621,2022-05-23 15:42:06.561489
5.38,100.00,1,0.005000,0.000400,0.000500,612,2022-05-23 15:42:07.552546
5.38,100.00,1,0.005000,0.000400,0.000500,602,2022-05-23 15:42:08.759615
10.51,100.00,1,0.005000,0.000400,0.000500,589,2022-05-23 15:42:09.643665
13.77,100.00,1,0.005000,0.000400,0.000500,589,2022-05-23 15:42:10.552717
17.38,100.00,1,0.005000,0.000400,0.000500,583,2022-05-23 15:42:11.752786
21.35,100.00,1,0.005000,0.000400,0.000500,576,2022-05-23 15:42:12.752843
25.56,100.00,1,0.005000,0.000400,0.000500,573,2022-05-23 15:42:13.752900
30.03,100.00,1,0.005000,0.000400,0.000500,570,2022-05-23 15:42:14.753958
34.68,100.00,1,0.005000,0.000400,0.000500,570,2022-05-23 15:42:15.752015
39.50,100.00,1,0.005000,0.000400,0.000500,567,2022-05-23 15:42:16.753072
