Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/05/25 13:44:17,LD-IS-01,TT-IS-05,Primary Clock Source,available,95,7,8,0,-192,Out of range
2022/05/25 13:44:17,TT-IS-05,BB-IS-01,Primary Clock Source,available,343,9,135,0,-54,Good Signal(191)
2022/05/25 13:44:23,LD-IS-01,TT-IS-05,Primary Clock Source,available,95,7,8,0,-192,Out of range
2022/05/25 13:44:23,TT-IS-05,BB-IS-01,Primary Clock Source,available,343,9,135,0,-54,Good Signal(191)
2022/05/25 13:44:33,LD-IS-01,TT-IS-05,Primary Clock Source,available,95,7,8,0,-192,Out of range
2022/05/25 13:44:33,TT-IS-05,BB-IS-01,Primary Clock Source,available,343,9,135,0,-54,Good Signal(191)
2022/05/25 13:44:41,LD-IS-01,TT-IS-05,Primary Clock Source,available,95,7,8,0,-192,Out of range
2022/05/25 13:44:41,TT-IS-05,BB-IS-01,Primary Clock Source,available,343,9,135,0,-54,Good Signal(191)
2022/05/25 13:44:55,LD-IS-01,TT-IS-05,Primary Clock Source,available,95,7,8,0,-192,Out of range
2022/05/25 13:44:55,TT-IS-05,BB-IS-01,Primary Clock Source,available,343,9,135,0,-54,Good Signal(191)
2022/05/25 13:45:05,LD-IS-01,TT-IS-05,Primary Clock Source,available,156,9,9,0,-52,Excellent Signal(207)
2022/05/25 13:45:05,TT-IS-05,BB-IS-01,Primary Clock Source,available,468,10,199,0,-53,Excellent Signal(194)
2022/05/25 13:45:11,LD-IS-01,TT-IS-05,Primary Clock Source,available,156,9,9,0,-52,Excellent Signal(207)
2022/05/25 13:45:11,TT-IS-05,BB-IS-01,Primary Clock Source,available,468,10,199,0,-53,Excellent Signal(194)
2022/05/25 13:45:21,LD-IS-01,TT-IS-05,Primary Clock Source,available,156,9,9,0,-52,Excellent Signal(207)
2022/05/25 13:45:21,TT-IS-05,BB-IS-01,Primary Clock Source,available,468,10,199,0,-53,Excellent Signal(194)
2022/05/25 13:45:37,LD-IS-01,TT-IS-05,Primary Clock Source,available,156,9,9,0,-52,Excellent Signal(207)
2022/05/25 13:45:37,TT-IS-05,BB-IS-01,Primary Clock Source,available,468,10,199,0,-53,Excellent Signal(194)
2022/05/25 13:45:43,LD-IS-01,TT-IS-05,Primary Clock Source,available,156,9,9,0,-52,Excellent Signal(207)
2022/05/25 13:45:43,TT-IS-05,BB-IS-01,Primary Clock Source,available,468,10,199,0,-53,Excellent Signal(194)
2022/05/25 13:45:53,LD-IS-01,TT-IS-05,Primary Clock Source,available,156,9,9,0,-52,Excellent Signal(207)
2022/05/25 13:45:53,TT-IS-05,BB-IS-01,Primary Clock Source,available,468,10,199,0,-53,Excellent Signal(194)
2022/05/25 13:46:01,LD-IS-01,TT-IS-05,Primary Clock Source,available,223,10,16,0,-52,Excellent Signal(207)
2022/05/25 13:46:01,TT-IS-05,BB-IS-01,Primary Clock Source,available,603,16,273,0,-52,Excellent Signal(195)
2022/05/25 13:46:15,LD-IS-01,TT-IS-05,Primary Clock Source,available,223,10,16,0,-52,Excellent Signal(207)
2022/05/25 13:46:15,TT-IS-05,BB-IS-01,Primary Clock Source,available,603,16,273,0,-52,Excellent Signal(195)
2022/05/25 13:46:25,LD-IS-01,TT-IS-05,Primary Clock Source,available,223,10,16,0,-52,Excellent Signal(207)
2022/05/25 13:46:25,TT-IS-05,BB-IS-01,Primary Clock Source,available,603,16,273,0,-52,Excellent Signal(195)
2022/05/25 13:46:31,LD-IS-01,TT-IS-05,Primary Clock Source,available,223,10,16,0,-52,Excellent Signal(207)
2022/05/25 13:46:31,TT-IS-05,BB-IS-01,Primary Clock Source,available,603,16,273,0,-52,Excellent Signal(195)
2022/05/25 13:46:41,LD-IS-01,TT-IS-05,Primary Clock Source,available,223,10,16,0,-52,Excellent Signal(207)
2022/05/25 13:46:41,TT-IS-05,BB-IS-01,Primary Clock Source,available,603,16,273,0,-52,Excellent Signal(195)
2022/05/25 13:46:57,LD-IS-01,TT-IS-05,Primary Clock Source,available,223,10,16,0,-52,Excellent Signal(207)
2022/05/25 13:46:57,TT-IS-05,BB-IS-01,Primary Clock Source,available,603,16,273,0,-52,Excellent Signal(195)
2022/05/25 13:47:03,LD-IS-01,TT-IS-05,Primary Clock Source,available,289,10,21,0,-52,Excellent Signal(205)
2022/05/25 13:47:03,TT-IS-05,BB-IS-01,Primary Clock Source,available,736,19,345,0,-53,Excellent Signal(193)
2022/05/25 13:47:14,LD-IS-01,TT-IS-05,Primary Clock Source,available,289,10,21,0,-52,Excellent Signal(205)
2022/05/25 13:47:14,TT-IS-05,BB-IS-01,Primary Clock Source,available,736,19,345,0,-53,Excellent Signal(193)
2022/05/25 13:47:21,LD-IS-01,TT-IS-05,Primary Clock Source,available,289,10,21,0,-52,Excellent Signal(205)
2022/05/25 13:47:21,TT-IS-05,BB-IS-01,Primary Clock Source,available,736,19,345,0,-53,Excellent Signal(193)
2022/05/25 13:47:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,289,10,21,0,-52,Excellent Signal(205)
2022/05/25 13:47:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,736,19,345,0,-53,Excellent Signal(193)
2022/05/25 13:47:45,LD-IS-01,TT-IS-05,Primary Clock Source,available,289,10,21,0,-52,Excellent Signal(205)
2022/05/25 13:47:45,TT-IS-05,BB-IS-01,Primary Clock Source,available,736,19,345,0,-53,Excellent Signal(193)
2022/05/25 13:47:52,LD-IS-01,TT-IS-05,Primary Clock Source,available,289,10,21,0,-52,Excellent Signal(205)
2022/05/25 13:47:52,TT-IS-05,BB-IS-01,Primary Clock Source,available,736,19,345,0,-53,Excellent Signal(193)
2022/05/25 13:48:01,LD-IS-01,TT-IS-05,Primary Clock Source,available,356,10,27,0,-52,Excellent Signal(204)
2022/05/25 13:48:01,TT-IS-05,BB-IS-01,Primary Clock Source,available,870,23,419,0,-53,Excellent Signal(193)
2022/05/25 13:48:32,LD-IS-01,TT-IS-05,Primary Clock Source,available,356,10,27,0,-52,Excellent Signal(204)
2022/05/25 13:48:32,TT-IS-05,BB-IS-01,Primary Clock Source,available,870,23,419,0,-53,Excellent Signal(193)
2022/05/25 13:48:59,LD-IS-01,TT-IS-05,Primary Clock Source,available,356,10,27,0,-52,Excellent Signal(204)
2022/05/25 13:48:59,TT-IS-05,BB-IS-01,Primary Clock Source,available,870,23,419,0,-53,Excellent Signal(193)
2022/05/25 13:49:29,LD-IS-01,TT-IS-05,Primary Clock Source,available,422,13,33,0,-52,Excellent Signal(202)
2022/05/25 13:49:29,TT-IS-05,BB-IS-01,Primary Clock Source,available,1006,27,494,0,-55,Good Signal(188)
2022/05/25 13:49:43,LD-IS-01,TT-IS-05,Primary Clock Source,available,422,13,33,0,-52,Excellent Signal(202)
2022/05/25 13:49:43,TT-IS-05,BB-IS-01,Primary Clock Source,available,1006,27,494,0,-55,Good Signal(188)
2022/05/25 13:50:06,LD-IS-01,TT-IS-05,Primary Clock Source,available,422,13,33,0,-52,Excellent Signal(202)
2022/05/25 13:50:06,TT-IS-05,BB-IS-01,Primary Clock Source,available,1006,27,494,0,-55,Good Signal(188)
2022/05/25 13:50:33,LD-IS-01,TT-IS-05,Primary Clock Source,available,461,60,35,0,-65,Good Signal(136)
2022/05/25 13:50:33,TT-IS-05,BB-IS-01,Primary Clock Source,available,1109,215,556,0,-66,Fair Signal(126)
2022/05/25 13:50:44,LD-IS-01,TT-IS-05,Primary Clock Source,available,461,60,35,0,-65,Good Signal(136)
2022/05/25 13:50:44,TT-IS-05,BB-IS-01,Primary Clock Source,available,1109,215,556,0,-66,Fair Signal(126)
2022/05/25 13:51:19,LD-IS-01,TT-IS-05,Primary Clock Source,available,461,60,35,0,-65,Good Signal(136)
2022/05/25 13:51:19,TT-IS-05,BB-IS-01,Primary Clock Source,available,1109,215,556,0,-66,Fair Signal(126)
2022/05/25 13:51:39,LD-IS-01,TT-IS-05,Primary Clock Source,available,504,103,38,0,-78,Fair Signal(68)
2022/05/25 13:51:39,TT-IS-05,BB-IS-01,Primary Clock Source,available,1206,467,620,0,-79,Fair Signal(65)
2022/05/25 13:51:55,LD-IS-01,TT-IS-05,Primary Clock Source,available,504,103,38,0,-78,Fair Signal(68)
