LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
101.60,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:19:40.630164
101.70,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:19:41.630221
101.73,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:42.630278
101.84,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:43.632336
101.85,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:44.431381
101.85,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:45.631450
101.74,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:46.429496
101.64,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:47.630564
101.58,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:48.630621
101.51,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:49.634679
101.37,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:50.630736
101.21,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:51.630793
101.06,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:52.630850
100.92,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:53.630907
100.66,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:54.630965
100.40,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:55.631022
100.20,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:56.440068
99.94,100.00,1,0.005000,0.000400,0.000500,570,2022-06-13 11:19:57.631136
99.63,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:19:58.632193
99.33,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:19:59.639251
99.33,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:20:00.631308
98.95,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:20:01.631365
98.94,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:20:02.636423
98.91,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:20:03.631479
98.96,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:20:04.630537
99.07,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:20:05.631594
99.22,100.00,1,0.005000,0.000400,0.000500,567,2022-06-13 11:20:06.630651
