Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/06/13 11:19:38,LD-IS-01,TT-IS-05,Primary Clock Source,available,747,23,13,0,-56,Good Signal(187)
2022/06/13 11:19:38,TT-IS-05,BB-IS-01,Primary Clock Source,available,1702,38,787,0,-56,Good Signal(189)
2022/06/13 11:19:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,809,26,14,0,-56,Good Signal(184)
2022/06/13 11:19:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,1828,39,852,0,-57,Good Signal(188)
2022/06/13 11:20:01,LD-IS-01,TT-IS-05,Primary Clock Source,available,809,26,14,0,-56,Good Signal(184)
2022/06/13 11:20:01,TT-IS-05,BB-IS-01,Primary Clock Source,available,1828,39,852,0,-57,Good Signal(188)
2022/06/13 11:20:10,LD-IS-01,TT-IS-05,Primary Clock Source,available,809,26,14,0,-56,Good Signal(184)
2022/06/13 11:20:10,TT-IS-05,BB-IS-01,Primary Clock Source,available,1828,39,852,0,-57,Good Signal(188)
2022/06/13 11:20:16,LD-IS-01,TT-IS-05,Primary Clock Source,available,809,26,14,0,-56,Good Signal(184)
2022/06/13 11:20:16,TT-IS-05,BB-IS-01,Primary Clock Source,available,1828,39,852,0,-57,Good Signal(188)
2022/06/13 11:20:26,LD-IS-01,TT-IS-05,Primary Clock Source,available,809,26,14,0,-56,Good Signal(184)
2022/06/13 11:20:26,TT-IS-05,BB-IS-01,Primary Clock Source,available,1828,39,852,0,-57,Good Signal(188)
2022/06/13 11:20:43,LD-IS-01,TT-IS-05,Primary Clock Source,available,809,26,14,0,-56,Good Signal(184)
2022/06/13 11:20:43,TT-IS-05,BB-IS-01,Primary Clock Source,available,1828,39,852,0,-57,Good Signal(188)
2022/06/13 11:20:48,LD-IS-01,TT-IS-05,Primary Clock Source,available,876,30,20,0,-56,Good Signal(184)
2022/06/13 11:20:48,TT-IS-05,BB-IS-01,Primary Clock Source,available,1964,40,927,0,-56,Good Signal(186)
2022/06/13 11:20:58,LD-IS-01,TT-IS-05,Primary Clock Source,available,876,30,20,0,-56,Good Signal(184)
2022/06/13 11:20:58,TT-IS-05,BB-IS-01,Primary Clock Source,available,1964,40,927,0,-56,Good Signal(186)
2022/06/13 11:21:07,LD-IS-01,TT-IS-05,Primary Clock Source,available,876,30,20,0,-56,Good Signal(184)
2022/06/13 11:21:07,TT-IS-05,BB-IS-01,Primary Clock Source,available,1964,40,927,0,-56,Good Signal(186)
2022/06/13 11:21:21,LD-IS-01,TT-IS-05,Primary Clock Source,available,876,30,20,0,-56,Good Signal(184)
2022/06/13 11:21:21,TT-IS-05,BB-IS-01,Primary Clock Source,available,1964,40,927,0,-56,Good Signal(186)
2022/06/13 11:21:30,LD-IS-01,TT-IS-05,Primary Clock Source,available,876,30,20,0,-56,Good Signal(184)
2022/06/13 11:21:30,TT-IS-05,BB-IS-01,Primary Clock Source,available,1964,40,927,0,-56,Good Signal(186)
2022/06/13 11:21:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,876,30,20,0,-56,Good Signal(184)
2022/06/13 11:21:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,1964,40,927,0,-56,Good Signal(186)
2022/06/13 11:21:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,943,35,26,0,-56,Good Signal(183)
2022/06/13 11:21:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,2102,44,1004,0,-56,Good Signal(187)
2022/06/13 11:22:02,LD-IS-01,TT-IS-05,Primary Clock Source,available,943,35,26,0,-56,Good Signal(183)
2022/06/13 11:22:02,TT-IS-05,BB-IS-01,Primary Clock Source,available,2102,44,1004,0,-56,Good Signal(187)
2022/06/13 11:22:08,LD-IS-01,TT-IS-05,Primary Clock Source,available,943,35,26,0,-56,Good Signal(183)
2022/06/13 11:22:08,TT-IS-05,BB-IS-01,Primary Clock Source,available,2102,44,1004,0,-56,Good Signal(187)
2022/06/13 11:22:18,LD-IS-01,TT-IS-05,Primary Clock Source,available,943,35,26,0,-56,Good Signal(183)
2022/06/13 11:22:18,TT-IS-05,BB-IS-01,Primary Clock Source,available,2102,44,1004,0,-56,Good Signal(187)
2022/06/13 11:22:26,LD-IS-01,TT-IS-05,Primary Clock Source,available,943,35,26,0,-56,Good Signal(183)
2022/06/13 11:22:26,TT-IS-05,BB-IS-01,Primary Clock Source,available,2102,44,1004,0,-56,Good Signal(187)
2022/06/13 11:22:40,LD-IS-01,TT-IS-05,Primary Clock Source,available,943,35,26,0,-56,Good Signal(183)
2022/06/13 11:22:40,TT-IS-05,BB-IS-01,Primary Clock Source,available,2102,44,1004,0,-56,Good Signal(187)
2022/06/13 11:22:50,LD-IS-01,TT-IS-05,Primary Clock Source,available,1010,35,32,0,-56,Good Signal(183)
2022/06/13 11:22:50,TT-IS-05,BB-IS-01,Primary Clock Source,available,2236,47,1077,0,-56,Good Signal(189)
2022/06/13 11:22:56,LD-IS-01,TT-IS-05,Primary Clock Source,available,1010,35,32,0,-56,Good Signal(183)
2022/06/13 11:22:56,TT-IS-05,BB-IS-01,Primary Clock Source,available,2236,47,1077,0,-56,Good Signal(189)
2022/06/13 11:23:07,LD-IS-01,TT-IS-05,Primary Clock Source,available,1010,35,32,0,-56,Good Signal(183)
2022/06/13 11:23:07,TT-IS-05,BB-IS-01,Primary Clock Source,available,2236,47,1077,0,-56,Good Signal(189)
2022/06/13 11:23:23,LD-IS-01,TT-IS-05,Primary Clock Source,available,1010,35,32,0,-56,Good Signal(183)
2022/06/13 11:23:23,TT-IS-05,BB-IS-01,Primary Clock Source,available,2236,47,1077,0,-56,Good Signal(189)
2022/06/13 11:23:28,LD-IS-01,TT-IS-05,Primary Clock Source,available,1010,35,32,0,-56,Good Signal(183)
2022/06/13 11:23:28,TT-IS-05,BB-IS-01,Primary Clock Source,available,2236,47,1077,0,-56,Good Signal(189)
2022/06/13 11:23:38,LD-IS-01,TT-IS-05,Primary Clock Source,available,1010,35,32,0,-56,Good Signal(183)
2022/06/13 11:23:38,TT-IS-05,BB-IS-01,Primary Clock Source,available,2236,47,1077,0,-56,Good Signal(189)
2022/06/13 11:23:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,1077,38,38,0,-56,Good Signal(185)
2022/06/13 11:23:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,2371,49,1151,0,-56,Good Signal(190)
2022/06/13 11:24:00,LD-IS-01,TT-IS-05,Primary Clock Source,available,1077,38,38,0,-56,Good Signal(185)
2022/06/13 11:24:00,TT-IS-05,BB-IS-01,Primary Clock Source,available,2371,49,1151,0,-56,Good Signal(190)
2022/06/13 11:24:10,LD-IS-01,TT-IS-05,Primary Clock Source,available,1077,38,38,0,-56,Good Signal(185)
2022/06/13 11:24:10,TT-IS-05,BB-IS-01,Primary Clock Source,available,2371,49,1151,0,-56,Good Signal(190)
2022/06/13 11:24:16,LD-IS-01,TT-IS-05,Primary Clock Source,available,1077,38,38,0,-56,Good Signal(185)
2022/06/13 11:24:16,TT-IS-05,BB-IS-01,Primary Clock Source,available,2371,49,1151,0,-56,Good Signal(190)
2022/06/13 11:24:26,LD-IS-01,TT-IS-05,Primary Clock Source,available,1077,38,38,0,-56,Good Signal(185)
2022/06/13 11:24:26,TT-IS-05,BB-IS-01,Primary Clock Source,available,2371,49,1151,0,-56,Good Signal(190)
2022/06/13 11:24:42,LD-IS-01,TT-IS-05,Primary Clock Source,available,1077,38,38,0,-56,Good Signal(185)
2022/06/13 11:24:42,TT-IS-05,BB-IS-01,Primary Clock Source,available,2371,49,1151,0,-56,Good Signal(190)
2022/06/13 11:24:48,LD-IS-01,TT-IS-05,Primary Clock Source,available,1141,44,44,0,-65,Good Signal(135)
2022/06/13 11:24:48,TT-IS-05,BB-IS-01,Primary Clock Source,available,2504,76,1223,0,-66,Good Signal(132)
2022/06/13 11:24:58,LD-IS-01,TT-IS-05,Primary Clock Source,available,1141,44,44,0,-65,Good Signal(135)
2022/06/13 11:24:58,TT-IS-05,BB-IS-01,Primary Clock Source,available,2504,76,1223,0,-66,Good Signal(132)
2022/06/13 11:25:14,LD-IS-01,TT-IS-05,Primary Clock Source,available,1141,44,44,0,-65,Good Signal(135)
2022/06/13 11:25:14,TT-IS-05,BB-IS-01,Primary Clock Source,available,2504,76,1223,0,-66,Good Signal(132)
2022/06/13 11:25:20,LD-IS-01,TT-IS-05,Primary Clock Source,available,1141,44,44,0,-65,Good Signal(135)
2022/06/13 11:25:20,TT-IS-05,BB-IS-01,Primary Clock Source,available,2504,76,1223,0,-66,Good Signal(132)
2022/06/13 11:25:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,1141,44,44,0,-65,Good Signal(135)
2022/06/13 11:25:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,2504,76,1223,0,-66,Good Signal(132)
2022/06/13 11:25:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,1141,44,44,0,-65,Good Signal(135)
2022/06/13 11:25:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,2504,76,1223,0,-66,Good Signal(132)
2022/06/13 11:25:53,LD-IS-01,TT-IS-05,Primary Clock Source,available,1207,51,49,0,-75,Fair Signal(84)
2022/06/13 11:25:53,TT-IS-05,BB-IS-01,Primary Clock Source,available,2642,104,1300,0,-78,Fair Signal(74)
2022/06/13 11:26:03,LD-IS-01,TT-IS-05,Primary Clock Source,available,1207,51,49,0,-75,Fair Signal(84)
2022/06/13 11:26:03,TT-IS-05,BB-IS-01,Primary Clock Source,available,2642,104,1300,0,-78,Fair Signal(74)
2022/06/13 11:27:40,LD-IS-01,TT-IS-05,Primary Clock Source,available,1207,51,49,0,-75,Fair Signal(84)
2022/06/13 11:27:40,TT-IS-05,BB-IS-01,Primary Clock Source,available,2642,104,1300,0,-78,Fair Signal(74)
2022/06/13 11:29:04,LD-IS-01,TT-IS-05,Primary Clock Source,available,1264,68,53,0,-87,Poor Signal(23)
2022/06/13 11:29:04,TT-IS-05,BB-IS-01,Primary Clock Source,available,2806,477,1436,0,-90,Poor Signal(6)
2022/06/13 11:29:14,LD-IS-01,TT-IS-05,Primary Clock Source,available,1351,123,56,0,-91,Poor Signal(4)
2022/06/13 11:29:14,TT-IS-05,BB-IS-01,Primary Clock Source,available,2806,477,1436,0,-90,Poor Signal(6)
2022/06/13 11:29:20,LD-IS-01,TT-IS-05,Primary Clock Source,available,1351,123,56,0,-91,Poor Signal(4)
2022/06/13 11:29:20,TT-IS-05,BB-IS-01,Primary Clock Source,available,2806,477,1436,0,-90,Poor Signal(6)
2022/06/13 11:29:30,LD-IS-01,TT-IS-05,Primary Clock Source,available,1351,123,56,0,-91,Poor Signal(4)
2022/06/13 11:29:30,TT-IS-05,BB-IS-01,Primary Clock Source,available,2806,477,1436,0,-90,Poor Signal(6)
2022/06/13 11:29:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,1351,123,56,0,-91,Poor Signal(4)
2022/06/13 11:29:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,2806,477,1436,0,-90,Poor Signal(6)
2022/06/13 11:29:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,1351,123,56,0,-91,Poor Signal(4)
2022/06/13 11:29:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,2806,477,1436,0,-90,Poor Signal(6)
2022/06/13 11:29:52,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:29:52,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:02,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:30:02,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:08,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:30:08,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:18,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:30:18,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:24,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:30:24,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:35,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:30:35,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:40,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:30:40,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:50,LD-IS-01,TT-IS-05,Primary Clock Source,available,1408,141,60,0,-80,Poor Signal(58)
2022/06/13 11:30:50,TT-IS-05,BB-IS-01,Primary Clock Source,available,2940,954,1552,0,-80,Poor Signal(59)
2022/06/13 11:30:56,LD-IS-01,TT-IS-05,Primary Clock Source,available,1476,141,67,0,-68,Fair Signal(117)
2022/06/13 11:30:56,TT-IS-05,BB-IS-01,Primary Clock Source,available,3076,955,1627,0,-69,Fair Signal(116)
2022/06/13 11:31:06,LD-IS-01,TT-IS-05,Primary Clock Source,available,1476,141,67,0,-68,Fair Signal(117)
2022/06/13 11:31:06,TT-IS-05,BB-IS-01,Primary Clock Source,available,3076,955,1627,0,-69,Fair Signal(116)
2022/06/13 11:31:12,LD-IS-01,TT-IS-05,Primary Clock Source,available,1476,141,67,0,-68,Fair Signal(117)
2022/06/13 11:31:12,TT-IS-05,BB-IS-01,Primary Clock Source,available,3076,955,1627,0,-69,Fair Signal(116)
2022/06/13 11:31:22,LD-IS-01,TT-IS-05,Primary Clock Source,available,1476,141,67,0,-68,Fair Signal(117)
2022/06/13 11:31:22,TT-IS-05,BB-IS-01,Primary Clock Source,available,3076,955,1627,0,-69,Fair Signal(116)
2022/06/13 11:31:28,LD-IS-01,TT-IS-05,Primary Clock Source,available,1476,141,67,0,-68,Fair Signal(117)
2022/06/13 11:31:28,TT-IS-05,BB-IS-01,Primary Clock Source,available,3076,955,1627,0,-69,Fair Signal(116)
2022/06/13 11:31:39,LD-IS-01,TT-IS-05,Primary Clock Source,available,1476,141,67,0,-68,Fair Signal(117)
2022/06/13 11:31:39,TT-IS-05,BB-IS-01,Primary Clock Source,available,3076,955,1627,0,-69,Fair Signal(116)
2022/06/13 11:31:44,LD-IS-01,TT-IS-05,Primary Clock Source,available,1476,141,67,0,-68,Fair Signal(117)
2022/06/13 11:31:44,TT-IS-05,BB-IS-01,Primary Clock Source,available,3076,955,1627,0,-69,Fair Signal(116)
2022/06/13 11:31:55,LD-IS-01,TT-IS-05,Primary Clock Source,available,1544,143,75,0,-58,Good Signal(178)
2022/06/13 11:31:55,TT-IS-05,BB-IS-01,Primary Clock Source,available,3213,955,1703,0,-58,Good Signal(175)
2022/06/13 11:32:00,LD-IS-01,TT-IS-05,Primary Clock Source,available,1544,143,75,0,-58,Good Signal(178)
2022/06/13 11:32:00,TT-IS-05,BB-IS-01,Primary Clock Source,available,3213,955,1703,0,-58,Good Signal(175)
2022/06/13 11:32:10,LD-IS-01,TT-IS-05,Primary Clock Source,available,1544,143,75,0,-58,Good Signal(178)
2022/06/13 11:32:10,TT-IS-05,BB-IS-01,Primary Clock Source,available,3213,955,1703,0,-58,Good Signal(175)
2022/06/13 11:32:16,LD-IS-01,TT-IS-05,Primary Clock Source,available,1544,143,75,0,-58,Good Signal(178)
2022/06/13 11:32:16,TT-IS-05,BB-IS-01,Primary Clock Source,available,3213,955,1703,0,-58,Good Signal(175)
2022/06/13 11:32:26,LD-IS-01,TT-IS-05,Primary Clock Source,available,1544,143,75,0,-58,Good Signal(178)
2022/06/13 11:32:26,TT-IS-05,BB-IS-01,Primary Clock Source,available,3213,955,1703,0,-58,Good Signal(175)
2022/06/13 11:32:32,LD-IS-01,TT-IS-05,Primary Clock Source,available,1544,143,75,0,-58,Good Signal(178)
2022/06/13 11:32:32,TT-IS-05,BB-IS-01,Primary Clock Source,available,3213,955,1703,0,-58,Good Signal(175)
2022/06/13 11:32:42,LD-IS-01,TT-IS-05,Primary Clock Source,available,1544,143,75,0,-58,Good Signal(178)
2022/06/13 11:32:42,TT-IS-05,BB-IS-01,Primary Clock Source,available,3213,955,1703,0,-58,Good Signal(175)
2022/06/13 11:32:48,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:32:48,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:32:58,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:32:58,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:33:04,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:33:04,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:33:14,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:33:14,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:33:21,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:33:21,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:33:30,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:33:30,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:33:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:33:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:33:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,1610,151,83,0,-57,Good Signal(182)
2022/06/13 11:33:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,3352,961,1781,0,-57,Good Signal(178)
2022/06/13 11:33:52,LD-IS-01,TT-IS-05,Primary Clock Source,available,1678,153,90,0,-57,Good Signal(182)
2022/06/13 11:33:52,TT-IS-05,BB-IS-01,Primary Clock Source,available,3490,964,1858,0,-57,Good Signal(179)
2022/06/13 11:34:02,LD-IS-01,TT-IS-05,Primary Clock Source,available,1678,153,90,0,-57,Good Signal(182)
2022/06/13 11:34:02,TT-IS-05,BB-IS-01,Primary Clock Source,available,3490,964,1858,0,-57,Good Signal(179)
2022/06/13 11:34:09,LD-IS-01,TT-IS-05,Primary Clock Source,available,1678,153,90,0,-57,Good Signal(182)
2022/06/13 11:34:09,TT-IS-05,BB-IS-01,Primary Clock Source,available,3490,964,1858,0,-57,Good Signal(179)
2022/06/13 11:34:25,LD-IS-01,TT-IS-05,Primary Clock Source,available,1678,153,90,0,-57,Good Signal(182)
2022/06/13 11:34:25,TT-IS-05,BB-IS-01,Primary Clock Source,available,3490,964,1858,0,-57,Good Signal(179)
2022/06/13 11:38:18,LD-IS-01,TT-IS-05,Primary Clock Source,available,1678,153,90,0,-57,Good Signal(182)
2022/06/13 11:38:18,TT-IS-05,BB-IS-01,Primary Clock Source,available,3490,964,1858,0,-57,Good Signal(179)
2022/06/13 11:38:58,LD-IS-01,TT-IS-05,Primary Clock Source,available,1751,512,97,0,-90,Poor Signal(23)
2022/06/13 11:38:58,TT-IS-05,BB-IS-01,Primary Clock Source,available,3655,2049,1973,0,-91,Poor Signal(1)
2022/06/13 11:39:06,LD-IS-01,TT-IS-05,Primary Clock Source,available,1753,600,97,0,-90,Poor Signal(21)
2022/06/13 11:39:06,TT-IS-05,BB-IS-01,Primary Clock Source,available,3680,2386,1983,0,-91,Poor Signal(1)
2022/06/13 11:39:12,LD-IS-01,TT-IS-05,Primary Clock Source,available,1753,600,97,0,-90,Poor Signal(21)
2022/06/13 11:39:12,TT-IS-05,BB-IS-01,Primary Clock Source,available,3680,2386,1983,0,-91,Poor Signal(1)
2022/06/13 11:39:22,LD-IS-01,TT-IS-05,Primary Clock Source,available,1753,600,97,0,-90,Poor Signal(21)
2022/06/13 11:39:22,TT-IS-05,BB-IS-01,Primary Clock Source,available,3680,2386,1983,0,-91,Poor Signal(1)
2022/06/13 11:39:28,LD-IS-01,TT-IS-05,Primary Clock Source,available,1753,600,97,0,-90,Poor Signal(21)
2022/06/13 11:39:28,TT-IS-05,BB-IS-01,Primary Clock Source,available,3680,2386,1983,0,-91,Poor Signal(1)
2022/06/13 11:39:38,LD-IS-01,TT-IS-05,Primary Clock Source,available,1753,600,97,0,-90,Poor Signal(21)
2022/06/13 11:39:38,TT-IS-05,BB-IS-01,Primary Clock Source,available,3680,2386,1983,0,-91,Poor Signal(1)
2022/06/13 11:39:45,LD-IS-01,TT-IS-05,Primary Clock Source,available,1753,600,97,0,-90,Poor Signal(21)
2022/06/13 11:39:45,TT-IS-05,BB-IS-01,Primary Clock Source,available,3680,2386,1983,0,-91,Poor Signal(1)
2022/06/13 11:39:54,LD-IS-01,TT-IS-05,Primary Clock Source,available,1801,720,102,0,-79,Fair Signal(72)
2022/06/13 11:39:54,TT-IS-05,BB-IS-01,Primary Clock Source,available,3783,2486,2037,0,-78,Fair Signal(67)
2022/06/13 11:40:00,LD-IS-01,TT-IS-05,Primary Clock Source,available,1801,720,102,0,-79,Fair Signal(72)
2022/06/13 11:40:00,TT-IS-05,BB-IS-01,Primary Clock Source,available,3783,2486,2037,0,-78,Fair Signal(67)
2022/06/13 11:40:10,LD-IS-01,TT-IS-05,Primary Clock Source,available,1801,720,102,0,-79,Fair Signal(72)
2022/06/13 11:40:10,TT-IS-05,BB-IS-01,Primary Clock Source,available,3783,2486,2037,0,-78,Fair Signal(67)
2022/06/13 11:40:16,LD-IS-01,TT-IS-05,Primary Clock Source,available,1801,720,102,0,-79,Fair Signal(72)
2022/06/13 11:40:16,TT-IS-05,BB-IS-01,Primary Clock Source,available,3783,2486,2037,0,-78,Fair Signal(67)
2022/06/13 11:40:32,LD-IS-01,TT-IS-05,Primary Clock Source,available,1801,720,102,0,-79,Fair Signal(72)
2022/06/13 11:40:32,TT-IS-05,BB-IS-01,Primary Clock Source,available,3783,2486,2037,0,-78,Fair Signal(67)
2022/06/13 11:40:42,LD-IS-01,TT-IS-05,Primary Clock Source,available,1801,720,102,0,-79,Fair Signal(72)
2022/06/13 11:40:42,TT-IS-05,BB-IS-01,Primary Clock Source,available,3783,2486,2037,0,-78,Fair Signal(67)
2022/06/13 11:40:48,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:40:48,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:40:58,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:40:58,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:41:06,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:41:06,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:41:15,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:41:15,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:41:20,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:41:20,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:41:31,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:41:31,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:41:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:41:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:41:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,1869,722,109,0,-67,Good Signal(130)
2022/06/13 11:41:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,3919,2488,2112,0,-66,Good Signal(132)
2022/06/13 11:41:52,LD-IS-01,TT-IS-05,Primary Clock Source,available,1937,722,116,0,-56,Good Signal(188)
2022/06/13 11:41:52,TT-IS-05,BB-IS-01,Primary Clock Source,available,4057,2488,2188,0,-55,Excellent Signal(198)
2022/06/13 11:42:02,LD-IS-01,TT-IS-05,Primary Clock Source,available,1937,722,116,0,-56,Good Signal(188)
2022/06/13 11:42:02,TT-IS-05,BB-IS-01,Primary Clock Source,available,4057,2488,2188,0,-55,Excellent Signal(198)
2022/06/13 11:43:07,LD-IS-01,TT-IS-05,Primary Clock Source,available,1937,722,116,0,-56,Good Signal(188)
2022/06/13 11:43:07,TT-IS-05,BB-IS-01,Primary Clock Source,available,4057,2488,2188,0,-55,Excellent Signal(198)
2022/06/13 11:43:31,LD-IS-01,TT-IS-05,Primary Clock Source,available,1991,747,120,0,-67,Good Signal(132)
2022/06/13 11:43:31,TT-IS-05,BB-IS-01,Primary Clock Source,available,4175,2556,2251,0,-66,Good Signal(132)
2022/06/13 11:44:49,LD-IS-01,TT-IS-05,Primary Clock Source,available,1991,747,120,0,-67,Good Signal(132)
2022/06/13 11:44:49,TT-IS-05,BB-IS-01,Primary Clock Source,available,4175,2556,2251,0,-66,Good Signal(132)
