LV1,SPVolt,Output,Date
0,0,602,2022-08-09 16:14:33.324599
100.25,100.00,602,2022-08-09 16:14:34.330657
100.25,100.00,602,2022-08-09 16:14:35.341715
100.14,100.00,602,2022-08-09 16:14:36.348772
99.98,100.00,602,2022-08-09 16:14:37.374831
99.88,100.00,602,2022-08-09 16:14:38.367888
99.88,100.00,602,2022-08-09 16:14:39.326943
99.82,100.00,602,2022-08-09 16:14:40.343001
99.76,100.00,602,2022-08-09 16:14:41.347058
99.73,100.00,602,2022-08-09 16:14:42.343115
99.59,100.00,602,2022-08-09 16:14:43.351173
99.59,100.00,599,2022-08-09 16:14:44.376232
99.53,100.00,599,2022-08-09 16:14:45.353287
99.52,100.00,599,2022-08-09 16:14:46.344344
99.45,100.00,599,2022-08-09 16:14:47.332401
99.47,100.00,599,2022-08-09 16:14:48.344459
99.64,100.00,599,2022-08-09 16:14:49.374517
99.86,100.00,602,2022-08-09 16:14:50.328572
100.02,100.00,602,2022-08-09 16:14:51.344630
100.14,100.00,602,2022-08-09 16:14:52.338687
100.25,100.00,602,2022-08-09 16:14:53.328744
100.29,100.00,602,2022-08-09 16:14:54.385804
100.29,100.00,602,2022-08-09 16:14:55.327858
100.31,100.00,602,2022-08-09 16:14:56.353917
100.35,100.00,602,2022-08-09 16:14:57.380975
100.29,100.00,602,2022-08-09 16:14:58.353031
100.34,100.00,602,2022-08-09 16:14:59.353088
100.27,100.00,602,2022-08-09 16:15:00.370146
100.13,100.00,602,2022-08-09 16:15:01.334201
100.02,100.00,602,2022-08-09 16:15:02.353260
99.98,100.00,602,2022-08-09 16:15:03.346317
99.95,100.00,602,2022-08-09 16:15:04.338373
99.93,100.00,602,2022-08-09 16:15:05.328430
99.87,100.00,602,2022-08-09 16:15:06.363489
99.77,100.00,602,2022-08-09 16:15:07.331545
99.63,100.00,599,2022-08-09 16:15:08.338602
99.66,100.00,599,2022-08-09 16:15:09.339659
99.60,100.00,599,2022-08-09 16:15:10.333716
99.60,100.00,599,2022-08-09 16:15:11.341774
99.58,100.00,599,2022-08-09 16:15:12.329830
99.66,100.00,599,2022-08-09 16:15:13.341888
