LV1,SPVolt,Output,Date
94.08,100.00,596,2022-09-05 16:15:34
94.41,100.00,596,2022-09-05 16:15:35
94.80,100.00,596,2022-09-05 16:15:36
95.16,100.00,596,2022-09-05 16:15:37
95.48,100.00,596,2022-09-05 16:15:38
95.48,100.00,596,2022-09-05 16:15:39
96.07,100.00,596,2022-09-05 16:15:40
96.38,100.00,596,2022-09-05 16:15:41
96.55,100.00,596,2022-09-05 16:15:42
96.80,100.00,596,2022-09-05 16:15:43
96.99,100.00,596,2022-09-05 16:15:44
96.99,100.00,596,2022-09-05 16:15:45
97.42,100.00,592,2022-09-05 16:15:46
97.47,100.00,596,2022-09-05 16:15:47
97.62,100.00,592,2022-09-05 16:15:48
97.81,100.00,592,2022-09-05 16:15:49
97.98,100.00,592,2022-09-05 16:15:50
98.20,100.00,592,2022-09-05 16:15:51
98.36,100.00,596,2022-09-05 16:15:52
98.62,100.00,596,2022-09-05 16:15:53
98.92,100.00,596,2022-09-05 16:15:54
98.92,100.00,596,2022-09-05 16:15:55
99.13,100.00,596,2022-09-05 16:15:56
99.10,100.00,596,2022-09-05 16:15:57
99.13,100.00,596,2022-09-05 16:15:58
99.06,100.00,596,2022-09-05 16:15:59
99.02,100.00,596,2022-09-05 16:16:00
99.00,100.00,596,2022-09-05 16:16:01
99.04,100.00,592,2022-09-05 16:16:02
99.04,100.00,592,2022-09-05 16:16:03
99.22,100.00,592,2022-09-05 16:16:04
99.34,100.00,596,2022-09-05 16:16:05
99.52,100.00,596,2022-09-05 16:16:06
99.61,100.00,596,2022-09-05 16:16:07
99.56,100.00,596,2022-09-05 16:16:08
99.38,100.00,596,2022-09-05 16:16:09
99.26,100.00,592,2022-09-05 16:16:10
99.26,100.00,592,2022-09-05 16:16:11
99.02,100.00,592,2022-09-05 16:16:12
99.06,100.00,592,2022-09-05 16:16:13
99.24,100.00,592,2022-09-05 16:16:14
99.37,100.00,592,2022-09-05 16:16:15
99.62,100.00,592,2022-09-05 16:16:16
99.62,100.00,592,2022-09-05 16:16:17
99.88,100.00,592,2022-09-05 16:16:18
100.11,100.00,596,2022-09-05 16:16:19
100.25,100.00,596,2022-09-05 16:16:20
100.25,100.00,596,2022-09-05 16:16:21
100.16,100.00,596,2022-09-05 16:16:22
99.97,100.00,596,2022-09-05 16:16:23
99.74,100.00,596,2022-09-05 16:16:24
99.53,100.00,592,2022-09-05 16:16:25
99.26,100.00,592,2022-09-05 16:16:26
99.26,100.00,592,2022-09-05 16:16:27
98.94,100.00,592,2022-09-05 16:16:28
98.95,100.00,592,2022-09-05 16:16:29
98.89,100.00,592,2022-09-05 16:16:30
99.08,100.00,592,2022-09-05 16:16:31
99.16,100.00,592,2022-09-05 16:16:32
99.19,100.00,592,2022-09-05 16:16:33
99.30,100.00,592,2022-09-05 16:16:34
99.30,100.00,592,2022-09-05 16:16:35
99.65,100.00,592,2022-09-05 16:16:36
99.70,100.00,592,2022-09-05 16:16:37
99.76,100.00,592,2022-09-05 16:16:38
99.70,100.00,592,2022-09-05 16:16:39
99.66,100.00,592,2022-09-05 16:16:40
99.58,100.00,592,2022-09-05 16:16:41
99.59,100.00,592,2022-09-05 16:16:42
99.60,100.00,592,2022-09-05 16:16:43
99.72,100.00,592,2022-09-05 16:16:44
99.79,100.00,592,2022-09-05 16:16:45
99.74,100.00,592,2022-09-05 16:16:46
99.76,100.00,592,2022-09-05 16:16:47
99.69,100.00,592,2022-09-05 16:16:48
99.69,100.00,592,2022-09-05 16:16:49
99.54,100.00,592,2022-09-05 16:16:50
99.46,100.00,592,2022-09-05 16:16:51
99.43,100.00,592,2022-09-05 16:16:52
99.40,100.00,592,2022-09-05 16:16:53
99.36,100.00,592,2022-09-05 16:16:54
99.40,100.00,592,2022-09-05 16:16:55
99.40,100.00,592,2022-09-05 16:16:56
99.46,100.00,592,2022-09-05 16:16:57
99.48,100.00,592,2022-09-05 16:16:58
99.48,100.00,592,2022-09-05 16:16:59
99.58,100.00,592,2022-09-05 16:17:00
99.58,100.00,592,2022-09-05 16:17:01
99.69,100.00,592,2022-09-05 16:17:02
99.73,100.00,592,2022-09-05 16:17:03
99.70,100.00,592,2022-09-05 16:17:04
99.70,100.00,592,2022-09-05 16:17:05
99.65,100.00,592,2022-09-05 16:17:06
99.65,100.00,592,2022-09-05 16:17:07
99.65,100.00,592,2022-09-05 16:17:08
99.60,100.00,592,2022-09-05 16:17:09
99.51,100.00,589,2022-09-05 16:17:10
99.45,100.00,589,2022-09-05 16:17:11
99.44,100.00,589,2022-09-05 16:17:12
99.51,100.00,589,2022-09-05 16:17:13
99.64,100.00,589,2022-09-05 16:17:14
99.64,100.00,589,2022-09-05 16:17:15
99.93,100.00,589,2022-09-05 16:17:16
100.06,100.00,592,2022-09-05 16:17:17
100.29,100.00,592,2022-09-05 16:17:18
100.45,100.00,592,2022-09-05 16:17:19
100.61,100.00,592,2022-09-05 16:17:20
100.61,100.00,592,2022-09-05 16:17:21
100.60,100.00,592,2022-09-05 16:17:22
100.52,100.00,592,2022-09-05 16:17:23
100.43,100.00,592,2022-09-05 16:17:24
100.37,100.00,592,2022-09-05 16:17:25
100.27,100.00,592,2022-09-05 16:17:26
100.28,100.00,592,2022-09-05 16:17:27
100.16,100.00,592,2022-09-05 16:17:28
100.06,100.00,592,2022-09-05 16:17:29
100.00,100.00,592,2022-09-05 16:17:30
100.00,100.00,592,2022-09-05 16:17:31
99.69,100.00,592,2022-09-05 16:17:32
99.60,100.00,592,2022-09-05 16:17:33
99.45,100.00,592,2022-09-05 16:17:34
99.14,100.00,589,2022-09-05 16:17:35
98.98,100.00,589,2022-09-05 16:17:36
98.98,100.00,589,2022-09-05 16:17:37
98.90,100.00,589,2022-09-05 16:17:38
98.79,100.00,589,2022-09-05 16:17:39
98.86,100.00,589,2022-09-05 16:17:40
98.89,100.00,589,2022-09-05 16:17:41
99.03,100.00,589,2022-09-05 16:17:42
99.15,100.00,589,2022-09-05 16:17:43
99.20,100.00,589,2022-09-05 16:17:44
99.35,100.00,589,2022-09-05 16:17:45
99.49,100.00,589,2022-09-05 16:17:46
99.49,100.00,589,2022-09-05 16:17:47
99.86,100.00,589,2022-09-05 16:17:48
100.03,100.00,589,2022-09-05 16:17:49
100.09,100.00,589,2022-09-05 16:17:50
100.06,100.00,589,2022-09-05 16:17:51
100.07,100.00,589,2022-09-05 16:17:52
100.02,100.00,589,2022-09-05 16:17:53
99.92,100.00,589,2022-09-05 16:17:54
99.92,100.00,589,2022-09-05 16:17:55
99.62,100.00,589,2022-09-05 16:17:56
99.47,100.00,589,2022-09-05 16:17:57
99.38,100.00,589,2022-09-05 16:17:58
99.27,100.00,589,2022-09-05 16:17:59
99.23,100.00,589,2022-09-05 16:18:00
99.13,100.00,589,2022-09-05 16:18:01
99.05,100.00,589,2022-09-05 16:18:02
98.99,100.00,589,2022-09-05 16:18:03
98.98,100.00,586,2022-09-05 16:18:04
99.02,100.00,586,2022-09-05 16:18:05
99.21,100.00,586,2022-09-05 16:18:06
99.54,100.00,589,2022-09-05 16:18:07
99.92,100.00,589,2022-09-05 16:18:08
99.92,100.00,589,2022-09-05 16:18:09
100.29,100.00,589,2022-09-05 16:18:10
100.86,100.00,589,2022-09-05 16:18:11
101.11,100.00,589,2022-09-05 16:18:12
101.35,100.00,592,2022-09-05 16:18:13
101.42,100.00,592,2022-09-05 16:18:14
101.35,100.00,592,2022-09-05 16:18:15
101.11,100.00,592,2022-09-05 16:18:16
100.87,100.00,592,2022-09-05 16:18:17
100.65,100.00,592,2022-09-05 16:18:18
100.65,100.00,592,2022-09-05 16:18:19
100.13,100.00,592,2022-09-05 16:18:20
99.92,100.00,589,2022-09-05 16:18:21
99.71,100.00,589,2022-09-05 16:18:22
99.64,100.00,589,2022-09-05 16:18:23
99.58,100.00,589,2022-09-05 16:18:24
99.58,100.00,589,2022-09-05 16:18:25
99.41,100.00,589,2022-09-05 16:18:26
99.26,100.00,589,2022-09-05 16:18:27
98.99,100.00,589,2022-09-05 16:18:28
98.89,100.00,589,2022-09-05 16:18:29
98.77,100.00,586,2022-09-05 16:18:30
98.68,100.00,586,2022-09-05 16:18:31
98.60,100.00,586,2022-09-05 16:18:32
98.57,100.00,586,2022-09-05 16:18:33
98.62,100.00,586,2022-09-05 16:18:34
98.62,100.00,586,2022-09-05 16:18:35
98.87,100.00,586,2022-09-05 16:18:36
98.92,100.00,586,2022-09-05 16:18:37
98.95,100.00,586,2022-09-05 16:18:38
98.96,100.00,586,2022-09-05 16:18:39
99.05,100.00,586,2022-09-05 16:18:40
99.11,100.00,586,2022-09-05 16:18:41
99.06,100.00,586,2022-09-05 16:18:42
98.99,100.00,586,2022-09-05 16:18:43
98.87,100.00,586,2022-09-05 16:18:44
98.82,100.00,586,2022-09-05 16:18:45
98.77,100.00,586,2022-09-05 16:18:46
98.70,100.00,586,2022-09-05 16:18:47
98.70,100.00,586,2022-09-05 16:18:48
98.59,100.00,586,2022-09-05 16:18:49
98.49,100.00,583,2022-09-05 16:18:50
98.49,100.00,583,2022-09-05 16:18:51
98.54,100.00,583,2022-09-05 16:18:52
98.74,100.00,583,2022-09-05 16:18:53
98.89,100.00,583,2022-09-05 16:18:54
99.08,100.00,583,2022-09-05 16:18:55
99.34,100.00,583,2022-09-05 16:18:56
99.34,100.00,583,2022-09-05 16:18:57
99.61,100.00,583,2022-09-05 16:18:58
100.24,100.00,586,2022-09-05 16:18:59
100.24,100.00,586,2022-09-05 16:19:00
100.51,100.00,586,2022-09-05 16:19:01
100.73,100.00,586,2022-09-05 16:19:02
100.72,100.00,586,2022-09-05 16:19:03
100.67,100.00,586,2022-09-05 16:19:04
100.54,100.00,586,2022-09-05 16:19:05
100.42,100.00,586,2022-09-05 16:19:06
100.42,100.00,586,2022-09-05 16:19:07
100.19,100.00,586,2022-09-05 16:19:08
