Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/11/26 11:46:28,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:28,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:29,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:29,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:30,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:30,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:31,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:31,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:32,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:32,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:33,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:33,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:34,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:34,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:35,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:35,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:37,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:37,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:38,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:38,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:39,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:39,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:40,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:40,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:41,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:41,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:42,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:42,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:43,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:43,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:44,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:44,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:45,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:45,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
2022/11/26 11:46:47,LD-IS-01,TT-IS-05,Primary Clock Source,available,1511,264,9,0,-55,Good Signal(190)
2022/11/26 11:46:47,TT-IS-05,BB-IS-01,Primary Clock Source,available,3257,54,1551,0,-55,Excellent Signal(193)
