LV1,SPVolt,Output,Date,ST_Lv1
0,0,0,2022-11-26 11:46:31,0
98.13,100.00,564,2022-11-26 11:46:32,128
98.19,100.00,560,2022-11-26 11:46:33,128
98.34,100.00,560,2022-11-26 11:46:34,128
98.46,100.00,564,2022-11-26 11:46:35,128
98.64,100.00,564,2022-11-26 11:46:36,128
98.78,100.00,564,2022-11-26 11:46:37,128
98.79,100.00,564,2022-11-26 11:46:38,128
98.76,100.00,564,2022-11-26 11:46:39,128
98.72,100.00,564,2022-11-26 11:46:40,128
98.70,100.00,564,2022-11-26 11:46:41,128
98.69,100.00,564,2022-11-26 11:46:42,128
98.66,100.00,560,2022-11-26 11:46:43,128
98.67,100.00,560,2022-11-26 11:46:44,128
98.69,100.00,560,2022-11-26 11:46:45,128
98.82,100.00,560,2022-11-26 11:46:46,128
99.00,100.00,560,2022-11-26 11:46:47,128
99.23,100.00,564,2022-11-26 11:46:48,128
99.49,100.00,564,2022-11-26 11:46:49,128
99.83,100.00,564,2022-11-26 11:46:50,128
100.04,100.00,564,2022-11-26 11:46:51,128
100.13,100.00,564,2022-11-26 11:46:52,128
100.13,100.00,564,2022-11-26 11:46:53,128
100.06,100.00,564,2022-11-26 11:46:54,128
100.07,100.00,564,2022-11-26 11:46:55,128
100.10,100.00,564,2022-11-26 11:46:56,128
100.15,100.00,564,2022-11-26 11:46:57,128
100.14,100.00,564,2022-11-26 11:46:58,128
100.03,100.00,564,2022-11-26 11:46:59,128
99.97,100.00,564,2022-11-26 11:47:00,128
99.93,100.00,564,2022-11-26 11:47:01,128
99.87,100.00,564,2022-11-26 11:47:02,128
99.77,100.00,564,2022-11-26 11:47:03,128
99.65,100.00,564,2022-11-26 11:47:04,128
99.63,100.00,564,2022-11-26 11:47:05,128
99.61,100.00,564,2022-11-26 11:47:06,128
99.64,100.00,564,2022-11-26 11:47:07,128
99.67,100.00,564,2022-11-26 11:47:08,128
99.67,100.00,564,2022-11-26 11:47:09,128
99.65,100.00,564,2022-11-26 11:47:10,128
99.68,100.00,564,2022-11-26 11:47:11,128
99.67,100.00,564,2022-11-26 11:47:12,128
99.66,100.00,564,2022-11-26 11:47:13,128
99.71,100.00,564,2022-11-26 11:47:14,128
99.82,100.00,564,2022-11-26 11:47:15,128
99.91,100.00,564,2022-11-26 11:47:16,128
99.99,100.00,564,2022-11-26 11:47:17,128
100.02,100.00,564,2022-11-26 11:47:18,128
100.00,100.00,564,2022-11-26 11:47:19,128
100.05,100.00,564,2022-11-26 11:47:20,128
100.16,100.00,564,2022-11-26 11:47:21,128
100.15,100.00,564,2022-11-26 11:47:22,128
100.15,100.00,564,2022-11-26 11:47:23,128
100.16,100.00,564,2022-11-26 11:47:24,128
