LV1,SPVolt,Output,Date,ST_Lv1
0,0,0,2023-01-13 08:32:46,0
99.86,100.00,573,2023-01-13 08:32:47,128
99.86,100.00,573,2023-01-13 08:32:48,128
100.22,100.00,573,2023-01-13 08:32:49,128
100.22,100.00,576,2023-01-13 08:32:50,128
100.66,100.00,576,2023-01-13 08:32:51,128
100.66,100.00,576,2023-01-13 08:32:52,128
100.91,100.00,576,2023-01-13 08:32:53,128
100.91,100.00,576,2023-01-13 08:32:54,128
100.91,100.00,576,2023-01-13 08:32:55,128
100.91,100.00,576,2023-01-13 08:32:56,128
100.30,100.00,576,2023-01-13 08:32:57,128
100.30,100.00,576,2023-01-13 08:32:58,128
99.62,100.00,576,2023-01-13 08:32:59,128
99.62,100.00,573,2023-01-13 08:33:00,128
99.24,100.00,573,2023-01-13 08:33:01,128
98.89,100.00,573,2023-01-13 08:33:02,128
98.32,100.00,573,2023-01-13 08:33:03,128
98.32,100.00,573,2023-01-13 08:33:04,128
98.19,100.00,573,2023-01-13 08:33:05,128
98.19,100.00,570,2023-01-13 08:33:06,128
98.49,100.00,570,2023-01-13 08:33:07,128
98.49,100.00,570,2023-01-13 08:33:08,128
99.11,100.00,570,2023-01-13 08:33:09,128
99.11,100.00,573,2023-01-13 08:33:10,128
99.68,100.00,573,2023-01-13 08:33:11,128
99.68,100.00,573,2023-01-13 08:33:12,128
99.79,100.00,573,2023-01-13 08:33:13,128
99.79,100.00,573,2023-01-13 08:33:14,128
99.64,100.00,573,2023-01-13 08:33:15,128
99.64,100.00,573,2023-01-13 08:33:16,128
99.53,100.00,573,2023-01-13 08:33:17,128
99.53,100.00,573,2023-01-13 08:33:18,128
99.59,100.00,573,2023-01-13 08:33:19,128
99.59,100.00,573,2023-01-13 08:33:20,128
99.75,100.00,573,2023-01-13 08:33:21,128
99.75,100.00,573,2023-01-13 08:33:22,128
100.05,100.00,573,2023-01-13 08:33:23,128
100.05,100.00,573,2023-01-13 08:33:24,128
100.10,100.00,573,2023-01-13 08:33:25,128
100.10,100.00,573,2023-01-13 08:33:26,128
100.20,100.00,573,2023-01-13 08:33:27,128
100.20,100.00,573,2023-01-13 08:33:28,128
100.55,100.00,573,2023-01-13 08:33:29,128
100.55,100.00,573,2023-01-13 08:33:30,128
100.95,100.00,573,2023-01-13 08:33:31,128
100.95,100.00,573,2023-01-13 08:33:32,128
101.30,100.00,576,2023-01-13 08:33:33,128
101.30,100.00,576,2023-01-13 08:33:34,128
101.53,100.00,576,2023-01-13 08:33:35,128
101.53,100.00,576,2023-01-13 08:33:36,128
101.47,100.00,576,2023-01-13 08:33:37,128
101.47,100.00,576,2023-01-13 08:33:38,128
101.42,100.00,576,2023-01-13 08:33:39,128
101.42,100.00,576,2023-01-13 08:33:40,128
101.30,100.00,576,2023-01-13 08:33:41,128
101.16,100.00,576,2023-01-13 08:33:42,128
100.93,100.00,576,2023-01-13 08:33:43,128
100.93,100.00,576,2023-01-13 08:33:44,128
100.78,100.00,576,2023-01-13 08:33:45,128
100.78,100.00,576,2023-01-13 08:33:46,128
100.64,100.00,576,2023-01-13 08:33:47,128
100.64,100.00,576,2023-01-13 08:33:48,128
100.49,100.00,576,2023-01-13 08:33:49,128
100.49,100.00,576,2023-01-13 08:33:50,128
100.42,100.00,576,2023-01-13 08:33:51,128
100.42,100.00,576,2023-01-13 08:33:52,128
100.24,100.00,576,2023-01-13 08:33:53,128
100.24,100.00,576,2023-01-13 08:33:54,128
100.10,100.00,576,2023-01-13 08:33:55,128
100.10,100.00,576,2023-01-13 08:33:56,128
100.09,100.00,576,2023-01-13 08:33:57,128
100.07,100.00,576,2023-01-13 08:33:58,128
100.01,100.00,576,2023-01-13 08:33:59,128
100.01,100.00,576,2023-01-13 08:34:00,128
100.01,100.00,576,2023-01-13 08:34:01,128
100.01,100.00,576,2023-01-13 08:34:02,128
100.09,100.00,576,2023-01-13 08:34:03,128
100.09,100.00,576,2023-01-13 08:34:04,128
100.17,100.00,576,2023-01-13 08:34:05,128
100.17,100.00,576,2023-01-13 08:34:06,128
100.26,100.00,576,2023-01-13 08:34:07,128
100.26,100.00,576,2023-01-13 08:34:08,128
100.17,100.00,576,2023-01-13 08:34:09,128
100.17,100.00,576,2023-01-13 08:34:10,128
100.03,100.00,576,2023-01-13 08:34:11,128
99.91,100.00,576,2023-01-13 08:34:12,128
99.68,100.00,576,2023-01-13 08:34:13,128
99.68,100.00,576,2023-01-13 08:34:14,128
99.50,100.00,576,2023-01-13 08:34:15,128
99.50,100.00,576,2023-01-13 08:34:16,128
99.47,100.00,576,2023-01-13 08:34:17,128
99.47,100.00,576,2023-01-13 08:34:18,128
99.46,100.00,576,2023-01-13 08:34:19,128
99.46,100.00,576,2023-01-13 08:34:20,128
99.45,100.00,576,2023-01-13 08:34:21,128
99.45,100.00,573,2023-01-13 08:34:22,128
99.29,100.00,573,2023-01-13 08:34:23,128
99.29,100.00,573,2023-01-13 08:34:24,128
99.29,100.00,573,2023-01-13 08:34:25,128
99.29,100.00,573,2023-01-13 08:34:26,128
99.39,100.00,573,2023-01-13 08:34:27,128
99.39,100.00,573,2023-01-13 08:34:28,128
99.45,100.00,573,2023-01-13 08:34:29,128
99.45,100.00,573,2023-01-13 08:34:30,128
99.50,100.00,573,2023-01-13 08:34:31,128
99.50,100.00,573,2023-01-13 08:34:32,128
99.71,100.00,573,2023-01-13 08:34:33,128
99.71,100.00,573,2023-01-13 08:34:34,128
99.92,100.00,573,2023-01-13 08:34:35,128
99.92,100.00,573,2023-01-13 08:34:36,128
100.13,100.00,573,2023-01-13 08:34:37,128
100.13,100.00,576,2023-01-13 08:34:38,128
100.29,100.00,576,2023-01-13 08:34:39,128
100.29,100.00,576,2023-01-13 08:34:40,128
100.24,100.00,576,2023-01-13 08:34:41,128
100.17,100.00,576,2023-01-13 08:34:42,128
99.92,100.00,576,2023-01-13 08:34:43,128
99.92,100.00,573,2023-01-13 08:34:44,128
99.67,100.00,573,2023-01-13 08:34:45,128
99.67,100.00,573,2023-01-13 08:34:46,128
99.55,100.00,573,2023-01-13 08:34:47,128
99.55,100.00,573,2023-01-13 08:34:48,128
99.66,100.00,573,2023-01-13 08:34:49,128
99.66,100.00,573,2023-01-13 08:34:50,128
99.89,100.00,573,2023-01-13 08:34:51,128
99.89,100.00,573,2023-01-13 08:34:52,128
100.31,100.00,573,2023-01-13 08:34:53,128
100.31,100.00,576,2023-01-13 08:34:54,128
100.64,100.00,576,2023-01-13 08:34:55,128
100.64,100.00,576,2023-01-13 08:34:56,128
100.78,100.00,576,2023-01-13 08:34:57,128
100.87,100.00,576,2023-01-13 08:34:58,128
100.95,100.00,576,2023-01-13 08:34:59,128
100.95,100.00,576,2023-01-13 08:35:00,128
101.13,100.00,576,2023-01-13 08:35:01,128
101.13,100.00,576,2023-01-13 08:35:02,128
101.21,100.00,576,2023-01-13 08:35:03,128
101.21,100.00,576,2023-01-13 08:35:04,128
101.33,100.00,576,2023-01-13 08:35:05,128
101.33,100.00,580,2023-01-13 08:35:06,128
101.38,100.00,580,2023-01-13 08:35:07,128
101.40,100.00,580,2023-01-13 08:35:08,128
101.28,100.00,580,2023-01-13 08:35:09,128
101.28,100.00,580,2023-01-13 08:35:10,128
101.17,100.00,580,2023-01-13 08:35:11,128
101.17,100.00,580,2023-01-13 08:35:12,128
100.96,100.00,580,2023-01-13 08:35:13,128
100.85,100.00,580,2023-01-13 08:35:14,128
100.73,100.00,580,2023-01-13 08:35:15,128
100.62,100.00,580,2023-01-13 08:35:16,128
100.43,100.00,580,2023-01-13 08:35:17,128
100.43,100.00,580,2023-01-13 08:35:18,128
100.27,100.00,580,2023-01-13 08:35:19,128
100.27,100.00,580,2023-01-13 08:35:20,128
100.03,100.00,580,2023-01-13 08:35:21,128
100.03,100.00,576,2023-01-13 08:35:22,128
99.72,100.00,576,2023-01-13 08:35:23,128
99.72,100.00,576,2023-01-13 08:35:24,128
99.68,100.00,576,2023-01-13 08:35:25,128
99.68,100.00,576,2023-01-13 08:35:26,128
99.70,100.00,576,2023-01-13 08:35:27,128
99.70,100.00,576,2023-01-13 08:35:28,128
99.70,100.00,576,2023-01-13 08:35:29,128
99.70,100.00,576,2023-01-13 08:35:30,128
99.85,100.00,576,2023-01-13 08:35:31,128
99.85,100.00,576,2023-01-13 08:35:32,128
100.16,100.00,576,2023-01-13 08:35:33,128
100.16,100.00,576,2023-01-13 08:35:34,128
100.43,100.00,576,2023-01-13 08:35:35,128
100.43,100.00,580,2023-01-13 08:35:36,128
100.38,100.00,580,2023-01-13 08:35:37,128
100.38,100.00,580,2023-01-13 08:35:38,128
100.14,100.00,580,2023-01-13 08:35:39,128
100.14,100.00,576,2023-01-13 08:35:40,128
100.00,100.00,576,2023-01-13 08:35:41,128
99.85,100.00,576,2023-01-13 08:35:42,128
99.77,100.00,576,2023-01-13 08:35:43,128
99.77,100.00,576,2023-01-13 08:35:44,128
99.89,100.00,576,2023-01-13 08:35:45,128
99.89,100.00,576,2023-01-13 08:35:46,128
99.99,100.00,576,2023-01-13 08:35:47,128
99.99,100.00,576,2023-01-13 08:35:48,128
100.16,100.00,576,2023-01-13 08:35:49,128
100.16,100.00,576,2023-01-13 08:35:50,128
100.47,100.00,576,2023-01-13 08:35:51,128
100.47,100.00,580,2023-01-13 08:35:52,128
100.80,100.00,580,2023-01-13 08:35:53,128
100.80,100.00,580,2023-01-13 08:35:54,128
100.84,100.00,580,2023-01-13 08:35:55,128
