LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
100.55,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:28.350459
100.57,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:29.548528
100.61,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:30.548585
100.56,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:31.548642
100.59,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:32.549699
100.52,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:33.548756
100.47,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:34.548814
100.40,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:35.351859
100.35,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:36.346916
100.32,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:37.348974
100.35,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:38.548042
100.43,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:39.551100
100.48,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:40.550157
100.55,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:41.358203
100.68,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:42.549271
100.75,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:43.549328
100.75,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:03:44.570387
100.77,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:03:45.359432
100.68,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:03:46.358489
100.59,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:03:47.555557
100.47,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:03:48.352603
100.33,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:03:49.346660
100.21,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:50.547729
100.03,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:51.371776
99.93,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:52.547843
99.87,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:53.346889
99.87,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:54.547957
99.89,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:55.548015
99.90,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:56.548072
99.95,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:57.548129
100.04,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:58.350175
100.06,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:03:59.549243
100.17,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:00.549301
100.23,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:01.346346
100.31,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:02.552415
100.37,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:03.347461
100.39,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:04:04.549529
100.36,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:04:05.547587
100.36,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:04:06.346632
100.32,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:04:07.548701
100.18,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:04:08.545758
100.06,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:09.544815
99.93,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:10.353861
99.84,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:11.548930
99.75,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:12.547987
99.75,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:13.548044
99.69,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:14.548101
99.70,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:15.355148
99.64,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:16.346204
99.62,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:17.355262
99.61,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:18.355319
99.55,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:19.347376
99.52,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:20.550445
99.45,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:21.548502
99.40,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:22.547559
99.36,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:23.547616
99.34,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:24.548673
99.28,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:25.551731
99.25,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:26.547788
99.15,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:27.549845
98.98,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:28.349891
98.84,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:29.549959
98.68,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:30.554017
98.53,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:31.551074
98.43,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:32.398122
98.35,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:33.356177
98.32,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:34.349234
98.40,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:35.357292
98.51,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:36.361349
98.63,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:37.348405
98.75,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:38.358463
98.88,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:39.354520
98.94,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:40.355577
99.05,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:41.574647
99.20,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:42.356692
99.34,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:43.345748
99.50,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:44.347806
99.61,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:45.347863
99.79,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:46.549932
99.93,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:47.547989
100.09,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:48.354035
100.29,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:49.350092
100.45,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:50.349149
100.65,100.00,1,0.005000,0.000400,0.000500,570,2022-07-06 15:04:51.347206
100.84,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:52.547275
101.00,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:53.356321
101.12,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:54.551389
101.16,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:55.346435
101.16,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:56.348492
101.10,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:57.550561
101.06,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:58.548618
101.07,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:04:59.546675
101.05,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:00.547732
101.07,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:01.348778
101.05,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:02.554847
101.04,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:03.354893
101.06,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:04.546961
101.06,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:05.346007
101.07,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:06.347064
101.12,100.00,1,0.005000,0.000400,0.000500,573,2022-07-06 15:05:07.351122
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:08.141167
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:09.141224
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:10.141281
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:11.141338
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:12.142396
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:13.156454
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:14.141510
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:15.141567
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:16.141624
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:17.141681
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:18.141739
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:19.143796
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:20.141853
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:21.141910
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:22.140967
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:23.197028
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:24.142082
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:25.141139
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:26.141196
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:27.155254
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:28.154311
101.12,100.00,1,0.005000,0.000400,0.000500,576,2022-07-06 15:05:29.146368
