LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
98.10,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:50.530000
98.10,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:51.513056
98.00,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:52.520114
98.07,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:53.519171
98.08,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:54.523228
98.20,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:55.508284
98.35,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:56.508342
98.62,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:57.320388
98.94,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:58.508456
99.30,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:43:59.318502
99.30,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:00.313559
99.75,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:01.314617
100.23,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:02.345676
101.17,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:03.508742
101.54,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:04.508799
101.90,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:05.507856
102.05,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:06.517914
102.02,100.00,1,0.005000,0.000400,0.000500,567,2022-07-06 15:44:07.507971
101.82,100.00,1,0.005000,0.000400,0.000500,567,2022-07-06 15:44:08.508028
101.56,100.00,1,0.005000,0.000400,0.000500,567,2022-07-06 15:44:09.508085
101.56,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:10.310131
101.22,100.00,1,0.005000,0.000400,0.000500,567,2022-07-06 15:44:11.509200
100.73,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:12.509257
99.84,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:13.508314
99.43,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:14.508371
99.12,100.00,1,0.005000,0.000400,0.000500,564,2022-07-06 15:44:15.508428
99.12,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:16.509486
98.95,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:17.514543
98.80,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:18.310589
98.67,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:19.311646
98.70,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:20.309703
98.74,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:21.508772
98.86,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:22.508829
99.07,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:23.310875
99.31,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:24.507943
99.58,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:25.508000
99.58,100.00,1,0.005000,0.000400,0.000500,560,2022-07-06 15:44:26.506057
