Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/05/04 12:54:34,LD-IS-01,TT-IS-05,Primary Clock Source,available,308,11,4,0,-52,Excellent Signal(200)
2022/05/04 12:54:34,TT-IS-05,BB-IS-01,Primary Clock Source,available,774,18,347,0,-57,Good Signal(185)
2022/05/04 12:54:40,LD-IS-01,TT-IS-05,Primary Clock Source,available,308,11,4,0,-52,Excellent Signal(200)
2022/05/04 12:54:40,TT-IS-05,BB-IS-01,Primary Clock Source,available,774,18,347,0,-57,Good Signal(185)
2022/05/04 12:54:50,LD-IS-01,TT-IS-05,Primary Clock Source,available,308,11,4,0,-52,Excellent Signal(200)
2022/05/04 12:54:50,TT-IS-05,BB-IS-01,Primary Clock Source,available,774,18,347,0,-57,Good Signal(185)
2022/05/04 12:54:58,LD-IS-01,TT-IS-05,Primary Clock Source,available,308,11,4,0,-52,Excellent Signal(200)
2022/05/04 12:54:58,TT-IS-05,BB-IS-01,Primary Clock Source,available,774,18,347,0,-57,Good Signal(185)
2022/05/04 12:55:12,LD-IS-01,TT-IS-05,Primary Clock Source,available,308,11,4,0,-52,Excellent Signal(200)
2022/05/04 12:55:12,TT-IS-05,BB-IS-01,Primary Clock Source,available,774,18,347,0,-57,Good Signal(185)
2022/05/04 12:55:22,LD-IS-01,TT-IS-05,Primary Clock Source,available,372,13,7,0,-52,Excellent Signal(201)
2022/05/04 12:55:22,TT-IS-05,BB-IS-01,Primary Clock Source,available,904,19,416,0,-57,Good Signal(185)
2022/05/04 12:55:28,LD-IS-01,TT-IS-05,Primary Clock Source,available,372,13,7,0,-52,Excellent Signal(201)
2022/05/04 12:55:28,TT-IS-05,BB-IS-01,Primary Clock Source,available,904,19,416,0,-57,Good Signal(185)
2022/05/04 12:55:38,LD-IS-01,TT-IS-05,Primary Clock Source,available,372,13,7,0,-52,Excellent Signal(201)
2022/05/04 12:55:38,TT-IS-05,BB-IS-01,Primary Clock Source,available,904,19,416,0,-57,Good Signal(185)
2022/05/04 12:55:55,LD-IS-01,TT-IS-05,Primary Clock Source,available,372,13,7,0,-52,Excellent Signal(201)
2022/05/04 12:55:55,TT-IS-05,BB-IS-01,Primary Clock Source,available,904,19,416,0,-57,Good Signal(185)
2022/05/04 12:56:00,LD-IS-01,TT-IS-05,Primary Clock Source,available,372,13,7,0,-52,Excellent Signal(201)
2022/05/04 12:56:00,TT-IS-05,BB-IS-01,Primary Clock Source,available,904,19,416,0,-57,Good Signal(185)
2022/05/04 12:56:10,LD-IS-01,TT-IS-05,Primary Clock Source,available,372,13,7,0,-52,Excellent Signal(201)
2022/05/04 12:56:10,TT-IS-05,BB-IS-01,Primary Clock Source,available,904,19,416,0,-57,Good Signal(185)
2022/05/04 12:56:26,LD-IS-01,TT-IS-05,Primary Clock Source,available,438,14,12,0,-53,Excellent Signal(200)
2022/05/04 12:56:26,TT-IS-05,BB-IS-01,Primary Clock Source,available,1036,23,487,0,-57,Good Signal(185)
