LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:06.559765
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:07.560823
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:08.362868
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:09.560937
-0.30,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:10.389984
-0.30,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:11.152028
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:12.731118
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:13.560166
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:14.562223
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:15.558280
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:16.558337
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:17.359383
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:18.561452
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:19.558509
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:20.358555
-0.30,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:21.558623
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:22.560681
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:23.563738
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:24.558795
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:25.566852
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:26.559909
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:27.376956
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:28.560024
-0.30,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:29.561081
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:30.559138
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:31.360184
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:32.559252
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:33.560310
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:34.557367
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:35.559424
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:36.558481
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:37.562539
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:38.558596
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:39.559653
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:40.557710
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:41.559767
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:42.557824
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:43.559882
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:44.559939
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:45.558996
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:46.359042
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:47.560110
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:48.360156
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:49.558225
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:50.559282
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:51.559339
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:52.560396
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:53.559454
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:54.565511
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:55.559568
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:56.554625
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:57.557682
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:58.418731
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:37:59.151773
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:38:00.820869
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:38:01.559911
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:38:02.559968
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:38:03.563026
-0.32,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:38:04.559083
-0.33,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:38:05.570141
-0.31,0.00,1,0.005000,0.000400,0.000500,1008,2022-05-09 14:38:06.558197
