LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
1.77,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-25 13:13:27.189828
1.76,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-25 13:13:28.195886
1.75,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-25 13:13:29.191943
1.75,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-25 13:13:30.187000
1.75,100.00,1,0.005000,0.000400,0.000500,855,2022-04-25 13:13:31.190057
1.75,100.00,1,0.005000,0.000400,0.000500,842,2022-04-25 13:13:32.190114
1.75,100.00,1,0.005000,0.000400,0.000500,829,2022-04-25 13:13:33.190172
1.75,100.00,1,0.005000,0.000400,0.000500,816,2022-04-25 13:13:34.202229
1.74,100.00,1,0.005000,0.000400,0.000500,804,2022-04-25 13:13:35.190286
1.74,100.00,1,0.005000,0.000400,0.000500,791,2022-04-25 13:13:36.206344
1.73,100.00,1,0.005000,0.000400,0.000500,778,2022-04-25 13:13:37.193401
1.75,100.00,1,0.005000,0.000400,0.000500,765,2022-04-25 13:13:38.191458
1.73,100.00,1,0.005000,0.000400,0.000500,756,2022-04-25 13:13:39.189515
1.72,100.00,1,0.005000,0.000400,0.000500,743,2022-04-25 13:13:40.209573
1.72,100.00,1,0.005000,0.000400,0.000500,730,2022-04-25 13:13:41.212630
1.72,100.00,1,0.005000,0.000400,0.000500,717,2022-04-25 13:13:42.221688
1.72,100.00,1,0.005000,0.000400,0.000500,704,2022-04-25 13:13:43.209745
1.72,100.00,1,0.005000,0.000400,0.000500,692,2022-04-25 13:13:44.203801
1.72,100.00,1,0.005000,0.000400,0.000500,679,2022-04-25 13:13:45.194858
1.73,100.00,1,0.005000,0.000400,0.000500,666,2022-04-25 13:13:46.189915
1.73,100.00,1,0.005000,0.000400,0.000500,653,2022-04-25 13:13:47.191972
2.36,100.00,1,0.005000,0.000400,0.000500,640,2022-04-25 13:13:48.191030
4.83,100.00,1,0.005000,0.000400,0.000500,631,2022-04-25 13:13:49.190087
6.56,100.00,1,0.005000,0.000400,0.000500,621,2022-04-25 13:13:50.190144
6.56,100.00,1,0.005000,0.000400,0.000500,612,2022-04-25 13:13:51.190201
6.56,100.00,1,0.005000,0.000400,0.000500,599,2022-04-25 13:13:52.189258
14.12,100.00,1,0.005000,0.000400,0.000500,589,2022-04-25 13:13:53.192316
17.61,100.00,1,0.005000,0.000400,0.000500,589,2022-04-25 13:13:54.190373
21.60,100.00,1,0.005000,0.000400,0.000500,586,2022-04-25 13:13:55.191430
25.69,100.00,1,0.005000,0.000400,0.000500,580,2022-04-25 13:13:56.210488
29.79,100.00,1,0.005000,0.000400,0.000500,580,2022-04-25 13:13:57.192544
