Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/04/25 13:13:30,LD-IS-01,BB-IS-01,Primary Clock Source,available,217,3,34,0,-53,Excellent Signal(202)
2022/04/25 13:13:46,LD-IS-01,BB-IS-01,Primary Clock Source,available,283,3,39,0,-53,Excellent Signal(202)
2022/04/25 13:13:51,LD-IS-01,BB-IS-01,Primary Clock Source,available,283,3,39,0,-53,Excellent Signal(202)
2022/04/25 13:14:02,LD-IS-01,BB-IS-01,Primary Clock Source,available,283,3,39,0,-53,Excellent Signal(202)
2022/04/25 13:14:10,LD-IS-01,BB-IS-01,Primary Clock Source,available,283,3,39,0,-53,Excellent Signal(202)
2022/04/25 13:14:22,LD-IS-01,BB-IS-01,Primary Clock Source,available,283,3,39,0,-53,Excellent Signal(202)
2022/04/25 13:14:34,LD-IS-01,BB-IS-01,Primary Clock Source,available,283,3,39,0,-53,Excellent Signal(202)
2022/04/25 13:14:42,LD-IS-01,BB-IS-01,Primary Clock Source,available,349,4,45,0,-53,Excellent Signal(202)
2022/04/25 13:14:50,LD-IS-01,BB-IS-01,Primary Clock Source,available,349,4,45,0,-53,Excellent Signal(202)
2022/04/25 13:15:06,LD-IS-01,BB-IS-01,Primary Clock Source,available,349,4,45,0,-53,Excellent Signal(202)
2022/04/25 13:15:10,LD-IS-01,BB-IS-01,Primary Clock Source,available,349,4,45,0,-53,Excellent Signal(202)
2022/04/25 13:15:22,LD-IS-01,BB-IS-01,Primary Clock Source,available,349,4,45,0,-53,Excellent Signal(202)
2022/04/25 13:15:30,LD-IS-01,BB-IS-01,Primary Clock Source,available,349,4,45,0,-53,Excellent Signal(202)
2022/04/25 13:15:42,LD-IS-01,BB-IS-01,Primary Clock Source,available,415,5,50,0,-52,Excellent Signal(202)
2022/04/25 13:15:54,LD-IS-01,BB-IS-01,Primary Clock Source,available,415,5,50,0,-52,Excellent Signal(202)
2022/04/25 13:16:02,LD-IS-01,BB-IS-01,Primary Clock Source,available,415,5,50,0,-52,Excellent Signal(202)
2022/04/25 13:16:10,LD-IS-01,BB-IS-01,Primary Clock Source,available,415,5,50,0,-52,Excellent Signal(202)
2022/04/25 13:16:26,LD-IS-01,BB-IS-01,Primary Clock Source,available,415,5,50,0,-52,Excellent Signal(202)
2022/04/25 13:16:30,LD-IS-01,BB-IS-01,Primary Clock Source,available,415,5,50,0,-52,Excellent Signal(202)
2022/04/25 13:16:42,LD-IS-01,BB-IS-01,Primary Clock Source,available,482,6,57,0,-52,Excellent Signal(202)
2022/04/25 13:16:50,LD-IS-01,BB-IS-01,Primary Clock Source,available,482,6,57,0,-52,Excellent Signal(202)
2022/04/25 13:17:02,LD-IS-01,BB-IS-01,Primary Clock Source,available,482,6,57,0,-52,Excellent Signal(202)
2022/04/25 13:17:14,LD-IS-01,BB-IS-01,Primary Clock Source,available,482,6,57,0,-52,Excellent Signal(202)
2022/04/25 13:17:22,LD-IS-01,BB-IS-01,Primary Clock Source,available,482,6,57,0,-52,Excellent Signal(202)
2022/04/25 13:17:30,LD-IS-01,BB-IS-01,Primary Clock Source,available,482,6,57,0,-52,Excellent Signal(202)
2022/04/25 13:17:46,LD-IS-01,BB-IS-01,Primary Clock Source,available,549,6,63,0,-52,Excellent Signal(201)
2022/04/25 13:17:50,LD-IS-01,BB-IS-01,Primary Clock Source,available,549,6,63,0,-52,Excellent Signal(201)
2022/04/25 13:18:02,LD-IS-01,BB-IS-01,Primary Clock Source,available,549,6,63,0,-52,Excellent Signal(201)
2022/04/25 13:18:10,LD-IS-01,BB-IS-01,Primary Clock Source,available,549,6,63,0,-52,Excellent Signal(201)
2022/04/25 13:18:22,LD-IS-01,BB-IS-01,Primary Clock Source,available,549,6,63,0,-52,Excellent Signal(201)
2022/04/25 13:18:34,LD-IS-01,BB-IS-01,Primary Clock Source,available,549,6,63,0,-52,Excellent Signal(201)
2022/04/25 13:18:42,LD-IS-01,BB-IS-01,Primary Clock Source,available,616,8,69,0,-52,Excellent Signal(201)
2022/04/25 13:18:50,LD-IS-01,BB-IS-01,Primary Clock Source,available,616,8,69,0,-52,Excellent Signal(201)
2022/04/25 13:19:06,LD-IS-01,BB-IS-01,Primary Clock Source,available,616,8,69,0,-52,Excellent Signal(201)
2022/04/25 13:19:14,LD-IS-01,BB-IS-01,Primary Clock Source,available,616,8,69,0,-52,Excellent Signal(201)
2022/04/25 13:19:22,LD-IS-01,BB-IS-01,Primary Clock Source,available,616,8,69,0,-52,Excellent Signal(201)
2022/04/25 13:19:42,LD-IS-01,BB-IS-01,Primary Clock Source,available,616,8,69,0,-52,Excellent Signal(201)
2022/04/25 13:19:54,LD-IS-01,BB-IS-01,Primary Clock Source,available,682,12,74,0,-60,Good Signal(162)
2022/04/25 13:20:02,LD-IS-01,BB-IS-01,Primary Clock Source,available,682,12,74,0,-60,Good Signal(162)
2022/04/25 13:20:19,LD-IS-01,BB-IS-01,Primary Clock Source,available,682,12,74,0,-60,Good Signal(162)
2022/04/25 13:20:27,LD-IS-01,BB-IS-01,Primary Clock Source,available,682,12,74,0,-60,Good Signal(162)
2022/04/25 13:20:43,LD-IS-01,BB-IS-01,Primary Clock Source,available,682,12,74,0,-60,Good Signal(162)
2022/04/25 13:20:46,LD-IS-01,BB-IS-01,Primary Clock Source,available,742,29,80,0,-73,Fair Signal(98)
2022/04/25 13:20:58,LD-IS-01,BB-IS-01,Primary Clock Source,available,742,29,80,0,-73,Fair Signal(98)
2022/04/25 13:21:03,LD-IS-01,BB-IS-01,Primary Clock Source,available,742,29,80,0,-73,Fair Signal(98)
2022/04/25 13:21:08,LD-IS-01,BB-IS-01,Primary Clock Source,available,742,29,80,0,-73,Fair Signal(98)
2022/04/25 13:21:14,LD-IS-01,BB-IS-01,Primary Clock Source,available,742,29,80,0,-73,Fair Signal(98)
2022/04/25 13:21:22,LD-IS-01,BB-IS-01,Primary Clock Source,available,742,29,80,0,-73,Fair Signal(98)
2022/04/25 13:21:46,LD-IS-01,BB-IS-01,Primary Clock Source,available,742,29,80,0,-73,Fair Signal(98)
2022/04/25 13:22:02,LD-IS-01,BB-IS-01,Primary Clock Source,available,797,57,86,0,-86,Poor Signal(31)
2022/04/25 13:22:07,LD-IS-01,BB-IS-01,Primary Clock Source,available,797,57,86,0,-86,Poor Signal(31)
2022/04/25 13:22:10,LD-IS-01,BB-IS-01,Primary Clock Source,available,797,57,86,0,-86,Poor Signal(31)
2022/04/25 13:22:18,LD-IS-01,BB-IS-01,Primary Clock Source,available,797,57,86,0,-86,Poor Signal(31)
2022/04/25 13:22:26,LD-IS-01,BB-IS-01,Primary Clock Source,available,797,57,86,0,-86,Poor Signal(31)
2022/04/25 13:22:34,LD-IS-01,BB-IS-01,Primary Clock Source,available,797,57,86,0,-86,Poor Signal(31)
2022/04/25 13:22:42,LD-IS-01,BB-IS-01,Primary Clock Source,available,852,80,92,0,-91,Poor Signal(4)
2022/04/25 13:22:50,LD-IS-01,BB-IS-01,Primary Clock Source,available,852,80,92,0,-91,Poor Signal(4)
2022/04/25 13:23:07,LD-IS-01,BB-IS-01,Primary Clock Source,available,852,80,92,0,-91,Poor Signal(4)
2022/04/25 13:23:10,LD-IS-01,BB-IS-01,Primary Clock Source,available,852,80,92,0,-91,Poor Signal(4)
2022/04/25 13:23:22,LD-IS-01,BB-IS-01,Primary Clock Source,available,852,80,92,0,-91,Poor Signal(4)
2022/04/25 13:23:30,LD-IS-01,BB-IS-01,Primary Clock Source,available,852,80,92,0,-91,Poor Signal(4)
2022/04/25 13:23:43,LD-IS-01,BB-IS-01,Primary Clock Source,available,917,92,99,0,-91,Poor Signal(4)
2022/04/25 13:23:54,LD-IS-01,BB-IS-01,Primary Clock Source,available,917,92,99,0,-91,Poor Signal(4)
2022/04/25 13:24:02,LD-IS-01,BB-IS-01,Primary Clock Source,available,917,92,99,0,-91,Poor Signal(4)
2022/04/25 13:24:11,LD-IS-01,BB-IS-01,Primary Clock Source,available,917,92,99,0,-91,Poor Signal(4)
2022/04/25 13:24:31,LD-IS-01,BB-IS-01,Primary Clock Source,available,917,92,99,0,-91,Poor Signal(4)
2022/04/25 13:24:34,LD-IS-01,BB-IS-01,Primary Clock Source,available,917,92,99,0,-91,Poor Signal(4)
2022/04/25 13:24:42,LD-IS-01,BB-IS-01,Primary Clock Source,available,974,117,106,0,-91,Poor Signal(4)
2022/04/25 13:24:50,LD-IS-01,BB-IS-01,Primary Clock Source,available,974,117,106,0,-91,Poor Signal(4)
2022/04/25 13:25:06,LD-IS-01,BB-IS-01,Primary Clock Source,available,974,117,106,0,-91,Poor Signal(4)
