LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:08.876036
0.38,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:09.876094
0.38,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:10.876151
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:11.876208
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:12.876265
0.36,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:13.880323
0.36,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:14.876380
0.38,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:15.876437
0.38,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:16.875494
0.36,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:17.876551
0.36,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:18.875608
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:19.875666
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:20.876723
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:21.876780
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:22.875837
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:23.875894
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:24.875952
0.36,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:25.876009
0.36,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:26.876066
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:27.876123
0.37,0.00,1,0.005000,0.000400,0.000500,1024,2022-04-12 10:15:28.876180
0.36,100.00,1,0.005000,0.000400,0.000500,852,2022-04-12 10:15:29.876238
0.36,100.00,1,0.005000,0.000400,0.000500,839,2022-04-12 10:15:30.876295
0.36,100.00,1,0.005000,0.000400,0.000500,826,2022-04-12 10:15:31.876352
0.37,100.00,1,0.005000,0.000400,0.000500,813,2022-04-12 10:15:32.913411
0.37,100.00,1,0.005000,0.000400,0.000500,800,2022-04-12 10:15:33.937470
0.37,100.00,1,0.005000,0.000400,0.000500,788,2022-04-12 10:15:34.876524
0.36,100.00,1,0.005000,0.000400,0.000500,775,2022-04-12 10:15:36.079592
0.36,100.00,1,0.005000,0.000400,0.000500,762,2022-04-12 10:15:37.081650
0.36,100.00,1,0.005000,0.000400,0.000500,749,2022-04-12 10:15:38.079707
0.36,100.00,1,0.005000,0.000400,0.000500,736,2022-04-12 10:15:39.079764
0.36,100.00,1,0.005000,0.000400,0.000500,724,2022-04-12 10:15:39.875810
0.36,100.00,1,0.005000,0.000400,0.000500,711,2022-04-12 10:15:41.080879
0.36,100.00,1,0.005000,0.000400,0.000500,698,2022-04-12 10:15:42.078936
0.36,100.00,1,0.005000,0.000400,0.000500,685,2022-04-12 10:15:43.079993
0.36,100.00,1,0.005000,0.000400,0.000500,672,2022-04-12 10:15:44.079050
1.24,100.00,1,0.005000,0.000400,0.000500,660,2022-04-12 10:15:45.079107
1.24,100.00,1,0.005000,0.000400,0.000500,650,2022-04-12 10:15:46.079164
4.27,100.00,1,0.005000,0.000400,0.000500,637,2022-04-12 10:15:47.079222
4.27,100.00,1,0.005000,0.000400,0.000500,631,2022-04-12 10:15:48.083279
8.11,100.00,1,0.005000,0.000400,0.000500,618,2022-04-12 10:15:49.079336
8.11,100.00,1,0.005000,0.000400,0.000500,612,2022-04-12 10:15:50.080393
13.98,100.00,1,0.005000,0.000400,0.000500,599,2022-04-12 10:15:51.079450
13.98,100.00,1,0.005000,0.000400,0.000500,599,2022-04-12 10:15:52.080508
21.55,100.00,1,0.005000,0.000400,0.000500,586,2022-04-12 10:15:53.080565
21.55,100.00,1,0.005000,0.000400,0.000500,589,2022-04-12 10:15:54.079622
25.73,100.00,1,0.005000,0.000400,0.000500,580,2022-04-12 10:15:55.079679
30.02,100.00,1,0.005000,0.000400,0.000500,576,2022-04-12 10:15:56.077736
38.77,100.00,1,0.005000,0.000400,0.000500,576,2022-04-12 10:15:57.078794
