Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/04/12 10:15:17,LD-IS-01,BB-IS-01,Primary Clock Source,available,27,0,9,0,-192,Out of range
2022/04/12 10:15:29,LD-IS-01,BB-IS-01,Primary Clock Source,available,88,1,18,0,-192,Out of range
2022/04/12 10:15:33,LD-IS-01,BB-IS-01,Primary Clock Source,available,88,1,18,0,-192,Out of range
2022/04/12 10:15:45,LD-IS-01,BB-IS-01,Primary Clock Source,available,88,1,18,0,-192,Out of range
2022/04/12 10:15:53,LD-IS-01,BB-IS-01,Primary Clock Source,available,88,1,18,0,-192,Out of range
2022/04/12 10:16:05,LD-IS-01,BB-IS-01,Primary Clock Source,available,88,1,18,0,-192,Out of range
2022/04/12 10:16:17,LD-IS-01,BB-IS-01,Primary Clock Source,available,88,1,18,0,-192,Out of range
2022/04/12 10:16:25,LD-IS-01,BB-IS-01,Primary Clock Source,available,156,1,25,0,-57,Good Signal(179)
2022/04/12 10:16:33,LD-IS-01,BB-IS-01,Primary Clock Source,available,156,1,25,0,-57,Good Signal(179)
2022/04/12 10:16:49,LD-IS-01,BB-IS-01,Primary Clock Source,available,156,1,25,0,-57,Good Signal(179)
2022/04/12 10:16:53,LD-IS-01,BB-IS-01,Primary Clock Source,available,156,1,25,0,-57,Good Signal(179)
2022/04/12 10:17:05,LD-IS-01,BB-IS-01,Primary Clock Source,available,156,1,25,0,-57,Good Signal(179)
2022/04/12 10:17:13,LD-IS-01,BB-IS-01,Primary Clock Source,available,156,1,25,0,-57,Good Signal(179)
2022/04/12 10:17:25,LD-IS-01,BB-IS-01,Primary Clock Source,available,224,4,31,0,-58,Good Signal(175)
2022/04/12 10:17:38,LD-IS-01,BB-IS-01,Primary Clock Source,available,224,4,31,0,-58,Good Signal(175)
2022/04/12 10:17:46,LD-IS-01,BB-IS-01,Primary Clock Source,available,224,4,31,0,-58,Good Signal(175)
2022/04/12 10:17:53,LD-IS-01,BB-IS-01,Primary Clock Source,available,224,4,31,0,-58,Good Signal(175)
2022/04/12 10:18:09,LD-IS-01,BB-IS-01,Primary Clock Source,available,224,4,31,0,-58,Good Signal(175)
2022/04/12 10:18:13,LD-IS-01,BB-IS-01,Primary Clock Source,available,224,4,31,0,-58,Good Signal(175)
2022/04/12 10:18:25,LD-IS-01,BB-IS-01,Primary Clock Source,available,291,5,38,0,-59,Good Signal(175)
2022/04/12 10:18:33,LD-IS-01,BB-IS-01,Primary Clock Source,available,291,5,38,0,-59,Good Signal(175)
2022/04/12 10:18:45,LD-IS-01,BB-IS-01,Primary Clock Source,available,291,5,38,0,-59,Good Signal(175)
