LV1,SPVolt,Mode,Kp,Ki,Kd,Output,Date
-0.08,0,0,0,0,0.000500,1024,2022-04-20 12:54:58.479313
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:54:59.482370
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:00.481428
-0.07,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:01.481485
-0.07,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:02.278530
-0.07,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:03.482599
-0.07,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:04.481656
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:05.480714
-0.09,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:06.480771
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:07.484828
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:08.481885
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:09.480942
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:10.481000
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:11.481057
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:12.481114
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:13.481171
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:14.481228
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:15.482286
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:16.482343
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:17.482400
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:18.480457
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:19.481514
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:20.477571
-0.07,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:21.481629
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:22.481686
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:23.481743
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:24.483800
-0.08,0.00,0,0.005000,0.000400,0.000500,1024,2022-04-20 12:55:25.480857
