Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/04/20 12:55:09,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:55:16,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:55:28,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:55:37,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:55:45,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:55:55,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:56:05,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:56:15,LD-IS-01,BB-IS-01,Primary Clock Source,available,3709,4609,279,0,-91,Poor Signal(1)
2022/04/20 12:56:25,LD-IS-01,BB-IS-01,Primary Clock Source,available,3801,4707,287,0,-78,Fair Signal(69)
2022/04/20 12:56:35,LD-IS-01,BB-IS-01,Primary Clock Source,available,3801,4707,287,0,-78,Fair Signal(69)
2022/04/20 12:56:45,LD-IS-01,BB-IS-01,Primary Clock Source,available,3801,4707,287,0,-78,Fair Signal(69)
2022/04/20 12:56:55,LD-IS-01,BB-IS-01,Primary Clock Source,available,3801,4707,287,0,-78,Fair Signal(69)
2022/04/20 12:57:05,LD-IS-01,BB-IS-01,Primary Clock Source,available,3801,4707,287,0,-78,Fair Signal(69)
2022/04/20 12:57:15,LD-IS-01,BB-IS-01,Primary Clock Source,available,3801,4707,287,0,-78,Fair Signal(69)
2022/04/20 12:57:25,LD-IS-01,BB-IS-01,Primary Clock Source,available,3868,4708,293,0,-64,Good Signal(138)
2022/04/20 12:57:35,LD-IS-01,BB-IS-01,Primary Clock Source,available,3868,4708,293,0,-64,Good Signal(138)
2022/04/20 12:57:45,LD-IS-01,BB-IS-01,Primary Clock Source,available,3868,4708,293,0,-64,Good Signal(138)
2022/04/20 12:57:55,LD-IS-01,BB-IS-01,Primary Clock Source,available,3868,4708,293,0,-64,Good Signal(138)
2022/04/20 12:58:05,LD-IS-01,BB-IS-01,Primary Clock Source,available,3868,4708,293,0,-64,Good Signal(138)
2022/04/20 12:58:15,LD-IS-01,BB-IS-01,Primary Clock Source,available,3868,4708,293,0,-64,Good Signal(138)
2022/04/20 12:58:25,LD-IS-01,BB-IS-01,Primary Clock Source,available,3935,4708,299,0,-51,Excellent Signal(207)
2022/04/20 12:58:35,LD-IS-01,BB-IS-01,Primary Clock Source,available,3935,4708,299,0,-51,Excellent Signal(207)
2022/04/20 12:58:45,LD-IS-01,BB-IS-01,Primary Clock Source,available,3935,4708,299,0,-51,Excellent Signal(207)
2022/04/20 12:58:55,LD-IS-01,BB-IS-01,Primary Clock Source,available,3935,4708,299,0,-51,Excellent Signal(207)
2022/04/20 12:59:05,LD-IS-01,BB-IS-01,Primary Clock Source,available,3935,4708,299,0,-51,Excellent Signal(207)
