Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/08/02 17:46:45,LD-IS-01,TT-IS-05,Primary Clock Source,available,11784,478,71,0,-71,Fair Signal(113)
2022/08/02 17:46:45,TT-IS-05,BB-IS-01,Primary Clock Source,available,24140,783,12064,0,-71,Fair Signal(111)
2022/08/02 17:46:55,LD-IS-01,TT-IS-05,Primary Clock Source,available,11784,478,71,0,-71,Fair Signal(113)
2022/08/02 17:46:55,TT-IS-05,BB-IS-01,Primary Clock Source,available,24140,783,12064,0,-71,Fair Signal(111)
2022/08/02 17:47:11,LD-IS-01,TT-IS-05,Primary Clock Source,available,11784,478,71,0,-71,Fair Signal(113)
2022/08/02 17:47:11,TT-IS-05,BB-IS-01,Primary Clock Source,available,24140,783,12064,0,-71,Fair Signal(111)
2022/08/02 17:47:17,LD-IS-01,TT-IS-05,Primary Clock Source,available,11784,478,71,0,-71,Fair Signal(113)
2022/08/02 17:47:17,TT-IS-05,BB-IS-01,Primary Clock Source,available,24140,783,12064,0,-71,Fair Signal(111)
2022/08/02 17:47:27,LD-IS-01,TT-IS-05,Primary Clock Source,available,11784,478,71,0,-71,Fair Signal(113)
2022/08/02 17:47:27,TT-IS-05,BB-IS-01,Primary Clock Source,available,24140,783,12064,0,-71,Fair Signal(111)
2022/08/02 17:47:35,LD-IS-01,TT-IS-05,Primary Clock Source,available,11784,478,71,0,-71,Fair Signal(113)
2022/08/02 17:47:35,TT-IS-05,BB-IS-01,Primary Clock Source,available,24140,783,12064,0,-71,Fair Signal(111)
2022/08/02 17:47:49,LD-IS-01,TT-IS-05,Primary Clock Source,available,11851,481,79,0,-62,Good Signal(159)
2022/08/02 17:47:49,TT-IS-05,BB-IS-01,Primary Clock Source,available,24276,789,12139,0,-62,Good Signal(161)
2022/08/02 17:47:59,LD-IS-01,TT-IS-05,Primary Clock Source,available,11851,481,79,0,-62,Good Signal(159)
2022/08/02 17:47:59,TT-IS-05,BB-IS-01,Primary Clock Source,available,24276,789,12139,0,-62,Good Signal(161)
2022/08/02 17:48:05,LD-IS-01,TT-IS-05,Primary Clock Source,available,11851,481,79,0,-62,Good Signal(159)
2022/08/02 17:48:05,TT-IS-05,BB-IS-01,Primary Clock Source,available,24276,789,12139,0,-62,Good Signal(161)
2022/08/02 17:48:21,LD-IS-01,TT-IS-05,Primary Clock Source,available,11851,481,79,0,-62,Good Signal(159)
2022/08/02 17:48:21,TT-IS-05,BB-IS-01,Primary Clock Source,available,24276,789,12139,0,-62,Good Signal(161)
2022/08/02 17:48:39,LD-IS-01,TT-IS-05,Primary Clock Source,available,11851,481,79,0,-62,Good Signal(159)
2022/08/02 17:48:39,TT-IS-05,BB-IS-01,Primary Clock Source,available,24276,789,12139,0,-62,Good Signal(161)
2022/08/02 17:49:12,LD-IS-01,TT-IS-05,Primary Clock Source,available,11918,483,84,0,-62,Good Signal(160)
2022/08/02 17:49:12,TT-IS-05,BB-IS-01,Primary Clock Source,available,24411,790,12213,0,-61,Good Signal(164)
2022/08/02 17:49:27,LD-IS-01,TT-IS-05,Primary Clock Source,available,11918,483,84,0,-62,Good Signal(160)
2022/08/02 17:49:27,TT-IS-05,BB-IS-01,Primary Clock Source,available,24411,790,12213,0,-61,Good Signal(164)
2022/08/02 17:49:41,LD-IS-01,TT-IS-05,Primary Clock Source,available,11918,483,84,0,-62,Good Signal(160)
2022/08/02 17:49:41,TT-IS-05,BB-IS-01,Primary Clock Source,available,24411,790,12213,0,-61,Good Signal(164)
2022/08/02 17:49:51,LD-IS-01,TT-IS-05,Primary Clock Source,available,11975,508,89,0,-71,Fair Signal(113)
2022/08/02 17:49:51,TT-IS-05,BB-IS-01,Primary Clock Source,available,24545,816,12287,0,-69,Fair Signal(117)
2022/08/02 17:49:59,LD-IS-01,TT-IS-05,Primary Clock Source,available,11975,508,89,0,-71,Fair Signal(113)
2022/08/02 17:49:59,TT-IS-05,BB-IS-01,Primary Clock Source,available,24545,816,12287,0,-69,Fair Signal(117)
2022/08/02 17:50:07,LD-IS-01,TT-IS-05,Primary Clock Source,available,11975,508,89,0,-71,Fair Signal(113)
2022/08/02 17:50:07,TT-IS-05,BB-IS-01,Primary Clock Source,available,24545,816,12287,0,-69,Fair Signal(117)
2022/08/02 17:50:13,LD-IS-01,TT-IS-05,Primary Clock Source,available,11975,508,89,0,-71,Fair Signal(113)
2022/08/02 17:50:13,TT-IS-05,BB-IS-01,Primary Clock Source,available,24545,816,12287,0,-69,Fair Signal(117)
2022/08/02 17:50:24,LD-IS-01,TT-IS-05,Primary Clock Source,available,11975,508,89,0,-71,Fair Signal(113)
2022/08/02 17:50:24,TT-IS-05,BB-IS-01,Primary Clock Source,available,24545,816,12287,0,-69,Fair Signal(117)
2022/08/02 17:50:40,LD-IS-01,TT-IS-05,Primary Clock Source,available,11975,508,89,0,-71,Fair Signal(113)
2022/08/02 17:50:40,TT-IS-05,BB-IS-01,Primary Clock Source,available,24545,816,12287,0,-69,Fair Signal(117)
2022/08/02 17:50:45,LD-IS-01,TT-IS-05,Primary Clock Source,available,12031,537,94,0,-81,Fair Signal(64)
2022/08/02 17:50:45,TT-IS-05,BB-IS-01,Primary Clock Source,available,24678,847,12358,0,-80,Fair Signal(67)
2022/08/02 17:50:55,LD-IS-01,TT-IS-05,Primary Clock Source,available,12031,537,94,0,-81,Fair Signal(64)
2022/08/02 17:50:55,TT-IS-05,BB-IS-01,Primary Clock Source,available,24678,847,12358,0,-80,Fair Signal(67)
2022/08/02 17:51:02,LD-IS-01,TT-IS-05,Primary Clock Source,available,12031,537,94,0,-81,Fair Signal(64)
2022/08/02 17:51:02,TT-IS-05,BB-IS-01,Primary Clock Source,available,24678,847,12358,0,-80,Fair Signal(67)
2022/08/02 17:51:11,LD-IS-01,TT-IS-05,Primary Clock Source,available,12031,537,94,0,-81,Fair Signal(64)
2022/08/02 17:51:11,TT-IS-05,BB-IS-01,Primary Clock Source,available,24678,847,12358,0,-80,Fair Signal(67)
2022/08/02 17:51:17,LD-IS-01,TT-IS-05,Primary Clock Source,available,12031,537,94,0,-81,Fair Signal(64)
2022/08/02 17:51:17,TT-IS-05,BB-IS-01,Primary Clock Source,available,24678,847,12358,0,-80,Fair Signal(67)
2022/08/02 17:51:35,LD-IS-01,TT-IS-05,Primary Clock Source,available,12031,537,94,0,-81,Fair Signal(64)
2022/08/02 17:51:35,TT-IS-05,BB-IS-01,Primary Clock Source,available,24678,847,12358,0,-80,Fair Signal(67)
2022/08/02 17:51:50,LD-IS-01,TT-IS-05,Primary Clock Source,available,12031,537,94,0,-81,Fair Signal(64)
2022/08/02 17:51:50,TT-IS-05,BB-IS-01,Primary Clock Source,available,24678,847,12358,0,-80,Fair Signal(67)
