Date,Devices,Neighbors,Clock Source,Link Status,DPDU Tx,DPDU Tx Fail,DPDU Rx,DPDU Rx Fail,RSSI,Quality
2022/08/16 16:21:48,LD-IS-01,TT-IS-05,Primary Clock Source,available,8325,420,23,0,-61,Good Signal(165)
2022/08/16 16:21:48,TT-IS-05,BB-IS-01,Primary Clock Source,available,17053,644,8549,0,-59,Good Signal(176)
2022/08/16 16:21:58,LD-IS-01,TT-IS-05,Primary Clock Source,available,8325,420,23,0,-61,Good Signal(165)
2022/08/16 16:21:58,TT-IS-05,BB-IS-01,Primary Clock Source,available,17053,644,8549,0,-59,Good Signal(176)
2022/08/16 16:22:06,LD-IS-01,TT-IS-05,Primary Clock Source,available,8325,420,23,0,-61,Good Signal(165)
2022/08/16 16:22:06,TT-IS-05,BB-IS-01,Primary Clock Source,available,17053,644,8549,0,-59,Good Signal(176)
2022/08/16 16:22:20,LD-IS-01,TT-IS-05,Primary Clock Source,available,8325,420,23,0,-61,Good Signal(165)
2022/08/16 16:22:20,TT-IS-05,BB-IS-01,Primary Clock Source,available,17053,644,8549,0,-59,Good Signal(176)
2022/08/16 16:22:30,LD-IS-01,TT-IS-05,Primary Clock Source,available,8390,421,27,0,-61,Good Signal(162)
2022/08/16 16:22:30,TT-IS-05,BB-IS-01,Primary Clock Source,available,17182,648,8617,0,-59,Good Signal(175)
2022/08/16 16:22:36,LD-IS-01,TT-IS-05,Primary Clock Source,available,8390,421,27,0,-61,Good Signal(162)
2022/08/16 16:22:36,TT-IS-05,BB-IS-01,Primary Clock Source,available,17182,648,8617,0,-59,Good Signal(175)
2022/08/16 16:22:46,LD-IS-01,TT-IS-05,Primary Clock Source,available,8390,421,27,0,-61,Good Signal(162)
2022/08/16 16:22:46,TT-IS-05,BB-IS-01,Primary Clock Source,available,17182,648,8617,0,-59,Good Signal(175)
2022/08/16 16:23:02,LD-IS-01,TT-IS-05,Primary Clock Source,available,8390,421,27,0,-61,Good Signal(162)
2022/08/16 16:23:02,TT-IS-05,BB-IS-01,Primary Clock Source,available,17182,648,8617,0,-59,Good Signal(175)
2022/08/16 16:23:08,LD-IS-01,TT-IS-05,Primary Clock Source,available,8390,421,27,0,-61,Good Signal(162)
