LV1,SPVolt,Output,Date
0,0,551,2022-08-02 17:46:36.324784
66.88,100.00,554,2022-08-02 17:46:37.308841
71.49,100.00,557,2022-08-02 17:46:38.308898
71.49,100.00,554,2022-08-02 17:46:39.323956
75.27,100.00,557,2022-08-02 17:46:40.317013
82.51,100.00,567,2022-08-02 17:46:41.314070
85.47,100.00,570,2022-08-02 17:46:42.314127
88.21,100.00,573,2022-08-02 17:46:43.324185
90.50,100.00,576,2022-08-02 17:46:44.324242
90.50,100.00,573,2022-08-02 17:46:45.324299
92.25,100.00,576,2022-08-02 17:46:46.309355
93.92,100.00,576,2022-08-02 17:46:47.309413
95.11,100.00,580,2022-08-02 17:46:48.314470
96.88,100.00,580,2022-08-02 17:46:49.310527
97.55,100.00,583,2022-08-02 17:46:50.319585
98.07,100.00,583,2022-08-02 17:46:51.318642
98.40,100.00,583,2022-08-02 17:46:52.313699
98.61,100.00,583,2022-08-02 17:46:53.309756
98.73,100.00,583,2022-08-02 17:46:54.323814
98.73,100.00,583,2022-08-02 17:46:55.313870
98.75,100.00,583,2022-08-02 17:46:56.308927
98.74,100.00,583,2022-08-02 17:46:57.318985
98.70,100.00,583,2022-08-02 17:46:58.314042
98.69,100.00,583,2022-08-02 17:46:59.314099
98.68,100.00,583,2022-08-02 17:47:00.314156
98.64,100.00,583,2022-08-02 17:47:01.324214
98.60,100.00,580,2022-08-02 17:47:02.309271
98.55,100.00,580,2022-08-02 17:47:03.309328
98.56,100.00,580,2022-08-02 17:47:04.313385
98.58,100.00,580,2022-08-02 17:47:05.314442
98.59,100.00,580,2022-08-02 17:47:06.318500
98.65,100.00,580,2022-08-02 17:47:07.323557
98.67,100.00,580,2022-08-02 17:47:08.318614
98.78,100.00,580,2022-08-02 17:47:09.308671
98.88,100.00,580,2022-08-02 17:47:10.313728
98.88,100.00,580,2022-08-02 17:47:11.308785
98.98,100.00,580,2022-08-02 17:47:12.323843
99.22,100.00,580,2022-08-02 17:47:13.318900
99.28,100.00,580,2022-08-02 17:47:14.318958
99.40,100.00,580,2022-08-02 17:47:15.309014
99.41,100.00,580,2022-08-02 17:47:16.324072
99.41,100.00,580,2022-08-02 17:47:17.324129
99.43,100.00,580,2022-08-02 17:47:18.314186
99.55,100.00,580,2022-08-02 17:47:19.313243
99.59,100.00,580,2022-08-02 17:47:20.323301
99.61,100.00,580,2022-08-02 17:47:21.308357
99.70,100.00,580,2022-08-02 17:47:22.326416
99.73,100.00,580,2022-08-02 17:47:23.320472
99.81,100.00,580,2022-08-02 17:47:24.308529
99.81,100.00,580,2022-08-02 17:47:25.323587
99.86,100.00,580,2022-08-02 17:47:26.318644
99.86,100.00,580,2022-08-02 17:47:27.324701
99.89,100.00,580,2022-08-02 17:47:28.308758
100.00,100.00,580,2022-08-02 17:47:29.318815
100.04,100.00,580,2022-08-02 17:47:30.318873
100.08,100.00,580,2022-08-02 17:47:31.308929
100.13,100.00,580,2022-08-02 17:47:32.317987
100.17,100.00,580,2022-08-02 17:47:33.322044
100.18,100.00,580,2022-08-02 17:47:34.318101
100.18,100.00,580,2022-08-02 17:47:35.314158
100.19,100.00,580,2022-08-02 17:47:36.308215
100.29,100.00,583,2022-08-02 17:47:37.308272
100.29,100.00,583,2022-08-02 17:47:38.313330
100.28,100.00,583,2022-08-02 17:47:39.320388
100.29,100.00,583,2022-08-02 17:47:40.315444
100.16,100.00,583,2022-08-02 17:47:41.325502
100.09,100.00,580,2022-08-02 17:47:42.313559
99.91,100.00,580,2022-08-02 17:47:43.313616
